SRR,Published,spot_numbers,read_length,URL,SRX,Strategy,Selection,Single_Paired,ILLUMINA,Instrument,SRP,Bioproject,SRS,Biosample,Species,GSM,SRA
SRR2039795,8/2/15 10:53,19625903,101,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2039795/SRR2039795.1,SRX1038187,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058710,PRJNA284922,SRS945345,SAMN03734509,Arabidopsis lyrata,GSM1695578,SRA269936
SRR2039796,8/2/15 10:53,18123255,101,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2039796/SRR2039796.1,SRX1038188,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058710,PRJNA284922,SRS945346,SAMN03734510,Arabidopsis lyrata,GSM1695579,SRA269936
SRR2033954,8/2/15 10:53,16493299,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033954/SRR2033954.1,SRX1034178,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941687,SAMN03702817,Arabidopsis lyrata,GSM1692581,SRA269101
SRR2033955,8/2/15 10:53,19272053,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033955/SRR2033955.1,SRX1034179,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941686,SAMN03702818,Arabidopsis lyrata,GSM1692582,SRA269101
SRR2033956,8/2/15 10:53,13643519,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033956/SRR2033956.1,SRX1034180,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941685,SAMN03702819,Arabidopsis lyrata,GSM1692583,SRA269101
SRR2033957,8/2/15 10:53,45850200,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033957/SRR2033957.1,SRX1034181,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941684,SAMN03702820,Arabidopsis lyrata,GSM1692584,SRA269101
SRR2033958,8/2/15 10:53,15625259,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033958/SRR2033958.1,SRX1034182,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941683,SAMN03702821,Arabidopsis lyrata,GSM1692585,SRA269101
SRR2033959,8/2/15 10:53,39933397,96,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-6/SRR2033959/SRR2033959.1,SRX1034183,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP058527,PRJNA284487,SRS941682,SAMN03702822,Arabidopsis lyrata,GSM1692586,SRA269101
SRR1657470,10/13/15 9:57,16959886,50,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1657470/SRR1657470.1,SRX763945,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP050051,PRJNA267853,SRS748319,SAMN03201437,Arabidopsis lyrata,GSM1550351,SRA203365
SRR1657471,10/13/15 9:57,14187778,50,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/SRR1657471/SRR1657471.1,SRX763946,RNA-Seq,cDNA,SINGLE,ILLUMINA,Illumina HiSeq 2000,SRP050051,PRJNA267853,SRS748318,SAMN03201439,Arabidopsis lyrata,GSM1550352,SRA203365
