protein, rna
Populus_euphratica-XP_011035361.1, Populus_euphratica-XM_011037059.1
Populus_euphratica-XP_011035271.1, Populus_euphratica-XM_011036969.1
Populus_euphratica-XP_011006934.1, Populus_euphratica-XM_011008632.1
Populus_euphratica-XP_011048401.1, Populus_euphratica-XM_011050099.1
Populus_euphratica-XP_011043499.1, Populus_euphratica-XM_011045197.1
Populus_euphratica-XP_011022253.1, Populus_euphratica-XM_011023951.1
Populus_euphratica-XP_011023171.1, Populus_euphratica-XM_011024869.1
Populus_euphratica-XP_011047947.1, Populus_euphratica-XM_011049645.1
Populus_euphratica-XP_010999630.1, Populus_euphratica-XM_011001328.1
Populus_euphratica-XP_011003091.1, Populus_euphratica-XM_011004789.1
Populus_euphratica-XP_011001359.1, Populus_euphratica-XM_011003057.1
Populus_euphratica-XP_011027780.1, Populus_euphratica-XM_011029478.1
Populus_euphratica-XP_011016803.1, Populus_euphratica-XM_011018501.1
Populus_euphratica-XP_011033309.1, Populus_euphratica-XM_011035007.1
Populus_euphratica-XP_011014538.1, Populus_euphratica-XM_011016236.1
Populus_euphratica-XP_011006623.1, Populus_euphratica-XM_011008321.1
Populus_euphratica-XP_011007080.1, Populus_euphratica-XM_011008778.1
Populus_euphratica-XP_011012660.1, Populus_euphratica-XM_011014358.1
Populus_euphratica-XP_011027472.1, Populus_euphratica-XM_011029170.1
Populus_euphratica-XP_011027475.1, Populus_euphratica-XM_011029173.1
Populus_euphratica-XP_011006720.1, Populus_euphratica-XM_011008418.1
Populus_euphratica-XP_011022479.1, Populus_euphratica-XM_011024177.1
Populus_euphratica-XP_011026852.1, Populus_euphratica-XM_011028550.1
Populus_euphratica-XP_011034256.1, Populus_euphratica-XM_011035954.1
Populus_euphratica-XP_011011977.1, Populus_euphratica-XM_011013675.1
Populus_euphratica-XP_011028273.1, Populus_euphratica-XM_011029971.1
Populus_euphratica-XP_011026865.1, Populus_euphratica-XM_011028563.1
Populus_euphratica-XP_011004017.1, Populus_euphratica-XM_011005715.1
Populus_euphratica-XP_011007479.1, Populus_euphratica-XM_011009177.1
Populus_euphratica-XP_011000613.1, Populus_euphratica-XM_011002311.1
Populus_euphratica-XP_011011032.1, Populus_euphratica-XM_011012730.1
Populus_euphratica-XP_011021934.1, Populus_euphratica-XM_011023632.1
Populus_euphratica-XP_011031844.1, Populus_euphratica-XM_011033542.1
Populus_euphratica-XP_011006630.1, Populus_euphratica-XM_011008328.1
Populus_euphratica-XP_011042228.1, Populus_euphratica-XM_011043926.1
Populus_euphratica-XP_011004145.1, Populus_euphratica-XM_011005843.1
Populus_euphratica-XP_011048927.1, Populus_euphratica-XM_011050625.1
Populus_euphratica-XP_011048928.1, Populus_euphratica-XM_011050626.1
Populus_euphratica-XP_011021605.1, Populus_euphratica-XM_011023303.1
Populus_euphratica-XP_011017607.1, Populus_euphratica-XM_011019305.1
Populus_euphratica-XP_011017619.1, Populus_euphratica-XM_011019317.1
Populus_euphratica-XP_011017625.1, Populus_euphratica-XM_011019323.1
Populus_euphratica-XP_011030314.1, Populus_euphratica-XM_011032012.1
Populus_euphratica-XP_011043243.1, Populus_euphratica-XM_011044941.1
Populus_euphratica-XP_011041717.1, Populus_euphratica-XM_011043415.1
Populus_euphratica-XP_011041728.1, Populus_euphratica-XM_011043426.1
Populus_euphratica-XP_011033786.1, Populus_euphratica-XM_011035484.1
Populus_euphratica-XP_011033787.1, Populus_euphratica-XM_011035485.1
Populus_euphratica-XP_011003136.1, Populus_euphratica-XM_011004834.1
Populus_euphratica-XP_011015037.1, Populus_euphratica-XM_011016735.1
Populus_euphratica-XP_011004744.1, Populus_euphratica-XM_011006442.1
Populus_euphratica-XP_011012355.1, Populus_euphratica-XM_011014053.1
Populus_euphratica-XP_011045422.1, Populus_euphratica-XM_011047120.1
Populus_euphratica-XP_011009648.1, Populus_euphratica-XM_011011346.1
Populus_euphratica-XP_011006590.1, Populus_euphratica-XM_011008288.1
Populus_euphratica-XP_011001096.1, Populus_euphratica-XM_011002794.1
Populus_euphratica-XP_011019836.1, Populus_euphratica-XM_011021534.1
Populus_euphratica-XP_011012739.1, Populus_euphratica-XM_011014437.1
Populus_euphratica-XP_011015682.1, Populus_euphratica-XM_011017380.1
Populus_euphratica-XP_011014127.1, Populus_euphratica-XM_011015825.1
Populus_euphratica-XP_011000584.1, Populus_euphratica-XM_011002282.1
Populus_euphratica-XP_011040661.1, Populus_euphratica-XM_011042359.1
Populus_euphratica-XP_011003540.1, Populus_euphratica-XM_011005238.1
