protein, rna
Solanum_lycopersicum-XP_004240714.1, Solanum_lycopersicum-XM_004240666.4
Solanum_lycopersicum-XP_004240612.2, Solanum_lycopersicum-XM_004240564.4
Solanum_lycopersicum-XP_010326020.1, Solanum_lycopersicum-XM_010327718.3
Solanum_lycopersicum-XP_004234917.1, Solanum_lycopersicum-XM_004234869.4
Solanum_lycopersicum-XP_004232526.1, Solanum_lycopersicum-XM_004232478.4
Solanum_lycopersicum-XP_004248085.1, Solanum_lycopersicum-XM_004248037.4
Solanum_lycopersicum-XP_004230466.1, Solanum_lycopersicum-XM_004230418.4
Solanum_lycopersicum-XP_004248750.1, Solanum_lycopersicum-XM_004248702.4
Solanum_lycopersicum-XP_004238392.1, Solanum_lycopersicum-XM_004238344.4
Solanum_lycopersicum-XP_004230726.1, Solanum_lycopersicum-XM_004230678.4
Solanum_lycopersicum-XP_004232918.1, Solanum_lycopersicum-XM_004232870.4
Solanum_lycopersicum-XP_010324346.1, Solanum_lycopersicum-XM_010326044.3
Solanum_lycopersicum-XP_004234835.1, Solanum_lycopersicum-XM_004234787.4
Solanum_lycopersicum-XP_010324394.1, Solanum_lycopersicum-XM_010326092.3
Solanum_lycopersicum-XP_004246621.1, Solanum_lycopersicum-XM_004246573.4
Solanum_lycopersicum-XP_004236005.1, Solanum_lycopersicum-XM_004235957.4
Solanum_lycopersicum-NP_001289839.1, Solanum_lycopersicum-NM_001302910.1
Solanum_lycopersicum-XP_025885575.1, Solanum_lycopersicum-XM_026029790.1
Solanum_lycopersicum-XP_004249849.1, Solanum_lycopersicum-XM_004249801.4
Solanum_lycopersicum-XP_004252117.1, Solanum_lycopersicum-XM_004252069.4
Solanum_lycopersicum-XP_004245502.1, Solanum_lycopersicum-XM_004245454.4
Solanum_lycopersicum-XP_004228591.1, Solanum_lycopersicum-XM_004228543.4
Solanum_lycopersicum-XP_004251106.1, Solanum_lycopersicum-XM_004251058.4
Solanum_lycopersicum-NP_001234535.2, Solanum_lycopersicum-NM_001247606.2
Solanum_lycopersicum-XP_004245506.1, Solanum_lycopersicum-XM_004245458.4
Solanum_lycopersicum-XP_004247516.1, Solanum_lycopersicum-XM_004247468.4
Solanum_lycopersicum-NP_001307272.1, Solanum_lycopersicum-NM_001320343.1
Solanum_lycopersicum-XP_004240919.1, Solanum_lycopersicum-XM_004240871.3
Solanum_lycopersicum-XP_004237444.1, Solanum_lycopersicum-XM_004237396.4
Solanum_lycopersicum-XP_004235997.1, Solanum_lycopersicum-XM_004235949.4
Solanum_lycopersicum-XP_004249644.1, Solanum_lycopersicum-XM_004249596.4
Solanum_lycopersicum-XP_004229403.1, Solanum_lycopersicum-XM_004229355.4
Solanum_lycopersicum-XP_004246706.1, Solanum_lycopersicum-XM_004246658.4
Solanum_lycopersicum-XP_004242909.1, Solanum_lycopersicum-XM_004242861.4
Solanum_lycopersicum-XP_004228393.1, Solanum_lycopersicum-XM_004228345.4
Solanum_lycopersicum-XP_010320689.1, Solanum_lycopersicum-XM_010322387.3
Solanum_lycopersicum-XP_004239734.1, Solanum_lycopersicum-XM_004239686.4
