At_gene  Prot_ID  OG  OG_size
EER5  NP_179546.2  OG0011700  46
ETR1  NP_176808.3  OG0003776  98
ERS1  NP_181262.1  OG0003879  96
ETR2  NP_188956.1  OG0001838  135
ERS2  NP_171927.1  OG0018870  10
EIN4  NP_187108.1  OG0001838  135
EIN2  NP_195948.1  OG0002845  112
CTR1  NP_195993.1  OG0001516  146
EIN3  NP_188713.1  OG0001017  169
EIL1  NP_180273.1  OG0001017  169
EIL2  NP_001318615.1  OG0019583  9
ERF1  NP_188965.1  OG0001192  159
XRN4  NP_175851.1  OG0006347  73
EBF1  NP_565597.1  OG0002723  114
EBF2  NP_197917.1  OG0002723  114
ETO1  NP_001030839.5  OG0002899  111
ACO1  NP_179549.1  OG0012495  42
ACS1  NP_191710.1  OG0002376  120
ACS2  NP_171655.1  OG0002376  120
ACS4  NP_179866.1  OG0001823  135
ACS5  NP_201381.1  OG0001823  135
ACS6  NP_192867.1  OG0002376  120
ACS7  NP_194350.1  OG0006977  69
ACS8  NP_195491.1  OG0001823  135
ACS9  NP_190539.1  OG0001823  135
ACS10  NP_564804.1  OG0003596  100
ACS11  NP_567330.1  OG0001823  135
ACS12  NP_199982.2  OG0003596  100
