protein, rna
Gossypium_hirsutum-XP_016732769.1, Gossypium_hirsutum-XM_016877280.2
Gossypium_hirsutum-XP_016737447.1, Gossypium_hirsutum-XM_016881958.2
Gossypium_hirsutum-XP_016721764.1, Gossypium_hirsutum-XM_016866275.2
Gossypium_hirsutum-XP_016671245.2, Gossypium_hirsutum-XM_016815756.2
Gossypium_hirsutum-XP_016689985.2, Gossypium_hirsutum-XM_016834496.2
Gossypium_hirsutum-XP_016731409.2, Gossypium_hirsutum-XM_016875920.2
Gossypium_hirsutum-XP_016692514.1, Gossypium_hirsutum-XM_016837025.2
Gossypium_hirsutum-XP_016701631.1, Gossypium_hirsutum-XM_016846142.2
Gossypium_hirsutum-XP_016737641.1, Gossypium_hirsutum-XM_016882152.2
Gossypium_hirsutum-XP_016739473.2, Gossypium_hirsutum-XM_016883984.2
Gossypium_hirsutum-XP_016679703.1, Gossypium_hirsutum-XM_016824214.2
Gossypium_hirsutum-XP_016727487.1, Gossypium_hirsutum-XM_016871998.2
Gossypium_hirsutum-XP_016691269.1, Gossypium_hirsutum-XM_016835780.2
Gossypium_hirsutum-XP_016727572.2, Gossypium_hirsutum-XM_016872083.2
Gossypium_hirsutum-XP_016687710.1, Gossypium_hirsutum-XM_016832221.2
Gossypium_hirsutum-XP_016725944.1, Gossypium_hirsutum-XM_016870455.2
Gossypium_hirsutum-XP_016723017.1, Gossypium_hirsutum-XM_016867528.2
Gossypium_hirsutum-XP_040945125.1, Gossypium_hirsutum-XM_041089191.1
Gossypium_hirsutum-XP_016698112.1, Gossypium_hirsutum-XM_016842623.2
Gossypium_hirsutum-XP_040942863.1, Gossypium_hirsutum-XM_041086929.1
Gossypium_hirsutum-XP_016725785.2, Gossypium_hirsutum-XM_016870296.2
Gossypium_hirsutum-XP_016712894.1, Gossypium_hirsutum-XM_016857405.2
Gossypium_hirsutum-XP_016712920.1, Gossypium_hirsutum-XM_016857431.2
Gossypium_hirsutum-XP_016666367.1, Gossypium_hirsutum-XM_016810878.2
Gossypium_hirsutum-XP_016687441.2, Gossypium_hirsutum-XM_016831952.2
Gossypium_hirsutum-XP_016665472.2, Gossypium_hirsutum-XM_016809983.2
Gossypium_hirsutum-XP_016702657.2, Gossypium_hirsutum-XM_016847168.2
Gossypium_hirsutum-XP_016707309.2, Gossypium_hirsutum-XM_016851820.2
Gossypium_hirsutum-XP_016742036.1, Gossypium_hirsutum-XM_016886547.2
Gossypium_hirsutum-XP_040944386.1, Gossypium_hirsutum-XM_041088452.1
Gossypium_hirsutum-XP_016685285.2, Gossypium_hirsutum-XM_016829796.2
Gossypium_hirsutum-XP_016686336.1, Gossypium_hirsutum-XM_016830847.2
Gossypium_hirsutum-XP_016708568.2, Gossypium_hirsutum-XM_016853079.2
Gossypium_hirsutum-XP_016724456.2, Gossypium_hirsutum-XM_016868967.2
Gossypium_hirsutum-XP_016729314.1, Gossypium_hirsutum-XM_016873825.2
Gossypium_hirsutum-XP_016738233.2, Gossypium_hirsutum-XM_016882744.2
Gossypium_hirsutum-XP_040931011.1, Gossypium_hirsutum-XM_041075077.1
Gossypium_hirsutum-XP_016696867.1, Gossypium_hirsutum-XM_016841378.2
Gossypium_hirsutum-XP_016745156.1, Gossypium_hirsutum-XM_016889667.2
Gossypium_hirsutum-XP_016694655.2, Gossypium_hirsutum-XM_016839166.2
Gossypium_hirsutum-XP_016736951.2, Gossypium_hirsutum-XM_016881462.2
Gossypium_hirsutum-XP_016743575.1, Gossypium_hirsutum-XM_016888086.2
Gossypium_hirsutum-XP_016745728.1, Gossypium_hirsutum-XM_016890239.2
Gossypium_hirsutum-XP_016686250.1, Gossypium_hirsutum-XM_016830761.2
Gossypium_hirsutum-XP_040950546.1, Gossypium_hirsutum-XM_041094612.1
Gossypium_hirsutum-XP_016673524.1, Gossypium_hirsutum-XM_016818035.2
Gossypium_hirsutum-XP_016726175.1, Gossypium_hirsutum-XM_016870686.2
Gossypium_hirsutum-XP_016740709.1, Gossypium_hirsutum-XM_016885220.2
Gossypium_hirsutum-XP_016742269.1, Gossypium_hirsutum-XM_016886780.2
Gossypium_hirsutum-XP_016718759.2, Gossypium_hirsutum-XM_016863270.2
Gossypium_hirsutum-XP_040933293.1, Gossypium_hirsutum-XM_041077359.1
Gossypium_hirsutum-XP_016669622.1, Gossypium_hirsutum-XM_016814133.2
Gossypium_hirsutum-XP_016671222.2, Gossypium_hirsutum-XM_016815733.2
Gossypium_hirsutum-XP_016749123.1, Gossypium_hirsutum-XM_016893634.2
Gossypium_hirsutum-XP_040943647.1, Gossypium_hirsutum-XM_041087713.1
Gossypium_hirsutum-XP_016695937.1, Gossypium_hirsutum-XM_016840448.2
Gossypium_hirsutum-XP_016710863.2, Gossypium_hirsutum-XM_016855374.2
Gossypium_hirsutum-XP_016679456.2, Gossypium_hirsutum-XM_016823967.2
Gossypium_hirsutum-XP_016703645.1, Gossypium_hirsutum-XM_016848156.2
Gossypium_hirsutum-XP_016712417.1, Gossypium_hirsutum-XM_016856928.2
Gossypium_hirsutum-XP_040950736.1, Gossypium_hirsutum-XM_041094802.1
Gossypium_hirsutum-XP_016674616.2, Gossypium_hirsutum-XM_016819127.2
Gossypium_hirsutum-XP_016703750.1, Gossypium_hirsutum-XM_016848261.2
Gossypium_hirsutum-XP_016705149.1, Gossypium_hirsutum-XM_016849660.2
Gossypium_hirsutum-XP_040938404.1, Gossypium_hirsutum-XM_041082470.1
Gossypium_hirsutum-XP_040938405.1, Gossypium_hirsutum-XM_041082471.1
Gossypium_hirsutum-XP_016681790.1, Gossypium_hirsutum-XM_016826301.2
Gossypium_hirsutum-XP_016754093.1, Gossypium_hirsutum-XM_016898604.2
Gossypium_hirsutum-XP_016711862.1, Gossypium_hirsutum-XM_016856373.2
Gossypium_hirsutum-XP_016735716.1, Gossypium_hirsutum-XM_016880227.2
Gossypium_hirsutum-XP_016716042.1, Gossypium_hirsutum-XM_016860553.2
Gossypium_hirsutum-XP_016755709.1, Gossypium_hirsutum-XM_016900220.2
Gossypium_hirsutum-XP_016679125.2, Gossypium_hirsutum-XM_016823636.2
Gossypium_hirsutum-XP_016738057.2, Gossypium_hirsutum-XM_016882568.2
Gossypium_hirsutum-XP_016671047.2, Gossypium_hirsutum-XM_016815558.2
Gossypium_hirsutum-XP_016725337.2, Gossypium_hirsutum-XM_016869848.2
Gossypium_hirsutum-XP_016669798.2, Gossypium_hirsutum-XM_016814309.2
Gossypium_hirsutum-XP_016671084.1, Gossypium_hirsutum-XM_016815595.2
Gossypium_hirsutum-XP_016671085.1, Gossypium_hirsutum-XM_016815596.2
Gossypium_hirsutum-XP_016691349.2, Gossypium_hirsutum-XM_016835860.2
Gossypium_hirsutum-XP_016714583.1, Gossypium_hirsutum-XM_016859094.2
Gossypium_hirsutum-XP_016680336.2, Gossypium_hirsutum-XM_016824847.2
Gossypium_hirsutum-XP_016711824.1, Gossypium_hirsutum-XM_016856335.2
Gossypium_hirsutum-XP_016738719.1, Gossypium_hirsutum-XM_016883230.2
Gossypium_hirsutum-XP_040943535.1, Gossypium_hirsutum-XM_041087601.1
Gossypium_hirsutum-XP_016673101.1, Gossypium_hirsutum-XM_016817612.2
Gossypium_hirsutum-XP_016685531.1, Gossypium_hirsutum-XM_016830042.2
Gossypium_hirsutum-XP_016685627.1, Gossypium_hirsutum-XM_016830138.2
Gossypium_hirsutum-XP_016752135.2, Gossypium_hirsutum-XM_016896646.2
Gossypium_hirsutum-XP_016669639.1, Gossypium_hirsutum-XM_016814150.2
Gossypium_hirsutum-XP_016671212.1, Gossypium_hirsutum-XM_016815723.2
Gossypium_hirsutum-XP_016685325.2, Gossypium_hirsutum-XM_016829836.2
Gossypium_hirsutum-XP_016677234.1, Gossypium_hirsutum-XM_016821745.2
Gossypium_hirsutum-XP_016700965.2, Gossypium_hirsutum-XM_016845476.2
Gossypium_hirsutum-XP_016699945.1, Gossypium_hirsutum-XM_016844456.2
Gossypium_hirsutum-XP_016706240.2, Gossypium_hirsutum-XM_016850751.2
Gossypium_hirsutum-XP_040943526.1, Gossypium_hirsutum-XM_041087592.1
Gossypium_hirsutum-XP_016726498.1, Gossypium_hirsutum-XM_016871009.2
Gossypium_hirsutum-XP_016744448.1, Gossypium_hirsutum-XM_016888959.2
Gossypium_hirsutum-XP_016733172.1, Gossypium_hirsutum-XM_016877683.2
Gossypium_hirsutum-XP_040949813.1, Gossypium_hirsutum-XM_041093879.1
Gossypium_hirsutum-XP_016692461.1, Gossypium_hirsutum-XM_016836972.2
Gossypium_hirsutum-XP_016738207.2, Gossypium_hirsutum-XM_016882718.2
Gossypium_hirsutum-XP_016715169.1, Gossypium_hirsutum-XM_016859680.2
Gossypium_hirsutum-XP_040957288.1, Gossypium_hirsutum-XM_041101354.1
Gossypium_hirsutum-XP_016711476.1, Gossypium_hirsutum-XM_016855987.2
Gossypium_hirsutum-XP_016730117.1, Gossypium_hirsutum-XM_016874628.2
Gossypium_hirsutum-XP_016699863.1, Gossypium_hirsutum-XM_016844374.2
Gossypium_hirsutum-XP_016752206.2, Gossypium_hirsutum-XM_016896717.2
Gossypium_hirsutum-XP_040949583.1, Gossypium_hirsutum-XM_041093649.1
Gossypium_hirsutum-XP_040949584.1, Gossypium_hirsutum-XM_041093650.1
Gossypium_hirsutum-XP_040969306.1, Gossypium_hirsutum-XM_041113372.1
Gossypium_hirsutum-XP_040969307.1, Gossypium_hirsutum-XM_041113373.1
Gossypium_hirsutum-XP_016716902.1, Gossypium_hirsutum-XM_016861413.2
Gossypium_hirsutum-XP_016719634.1, Gossypium_hirsutum-XM_016864145.2
Gossypium_hirsutum-XP_016707755.1, Gossypium_hirsutum-XM_016852266.2
Gossypium_hirsutum-XP_016718443.1, Gossypium_hirsutum-XM_016862954.2
Gossypium_hirsutum-XP_040966600.1, Gossypium_hirsutum-XM_041110666.1
Gossypium_hirsutum-XP_016702538.1, Gossypium_hirsutum-XM_016847049.2
Gossypium_hirsutum-XP_016727970.2, Gossypium_hirsutum-XM_016872481.2
Gossypium_hirsutum-XP_016688884.2, Gossypium_hirsutum-XM_016833395.2
Gossypium_hirsutum-XP_016749735.1, Gossypium_hirsutum-XM_016894246.2
Gossypium_hirsutum-XP_016729060.2, Gossypium_hirsutum-XM_016873571.2
Gossypium_hirsutum-XP_016666668.1, Gossypium_hirsutum-XM_016811179.2
Gossypium_hirsutum-XP_016739991.1, Gossypium_hirsutum-XM_016884502.2
Gossypium_hirsutum-XP_016707216.1, Gossypium_hirsutum-XM_016851727.1
Gossypium_hirsutum-XP_016729214.2, Gossypium_hirsutum-XM_016873725.2
Gossypium_hirsutum-XP_040941692.1, Gossypium_hirsutum-XM_041085758.1
Gossypium_hirsutum-XP_040940563.1, Gossypium_hirsutum-XM_041084629.1
Gossypium_hirsutum-XP_040966035.1, Gossypium_hirsutum-XM_041110101.1
Gossypium_hirsutum-XP_016677237.2, Gossypium_hirsutum-XM_016821748.2
Gossypium_hirsutum-XP_040933793.1, Gossypium_hirsutum-XM_041077859.1
Gossypium_hirsutum-XP_040972899.1, Gossypium_hirsutum-XM_041116965.1
Gossypium_hirsutum-XP_040972900.1, Gossypium_hirsutum-XM_041116966.1
Gossypium_hirsutum-XP_016665786.1, Gossypium_hirsutum-XM_016810297.2
Gossypium_hirsutum-XP_016740465.1, Gossypium_hirsutum-XM_016884976.2
Gossypium_hirsutum-XP_016711328.1, Gossypium_hirsutum-XM_016855839.2
Gossypium_hirsutum-XP_040958665.1, Gossypium_hirsutum-XM_041102731.1
Gossypium_hirsutum-XP_016689735.1, Gossypium_hirsutum-XM_016834246.2
Gossypium_hirsutum-XP_016750235.1, Gossypium_hirsutum-XM_016894746.2
Gossypium_hirsutum-XP_016694499.1, Gossypium_hirsutum-XM_016839010.1
Gossypium_hirsutum-XP_016708590.2, Gossypium_hirsutum-XM_016853101.2
Gossypium_hirsutum-XP_016722503.2, Gossypium_hirsutum-XM_016867014.2
Gossypium_hirsutum-XP_016715323.2, Gossypium_hirsutum-XM_016859834.2
