protein, rna
XP_008376654.1, XM_008378432.3
XP_008366262.2, XM_008368040.3
XP_008369807.2, XM_008371585.3
XP_008386659.2, XM_008388437.3
XP_008344222.1, XM_008346000.3
XP_028950998.1, XM_029095165.1
XP_028955340.1, XM_029099507.1
XP_008339371.1, XM_008341149.3
XP_028963238.1, XM_029107405.1
XP_008368151.2, XM_008369929.3
XP_008377125.2, XM_008378903.3
XP_008387900.2, XM_008389678.3
XP_028954091.1, XM_029098258.1
XP_008383686.2, XM_008385464.3
XP_008369151.1, XM_008370929.3
XP_008358389.3, XM_008360167.3
XP_008382050.2, XM_008383828.3
XP_008369654.2, XM_008371432.2
XP_008356625.2, XM_008358403.3
XP_008393150.2, XM_008394928.3
XP_008368533.2, XM_008370311.3
XP_028950631.1, XM_029094798.1
XP_008382075.2, XM_008383853.3
XP_008337553.2, XM_008339331.3
XP_008386890.2, XM_008388668.3
XP_008344884.2, XM_008346662.3
XP_008385498.1, XM_008387276.3
XP_008341756.1, XM_008343534.3
XP_028959559.1, XM_029103726.1
XP_008382899.2, XM_008384677.3
XP_028961026.1, XM_029105193.1
XP_008392816.2, XM_008394594.3
XP_028961304.1, XM_029105471.1
XP_008353767.2, XM_008355545.3
XP_008374551.2, XM_008376329.3
XP_008359690.3, XM_008361468.3
XP_008369056.2, XM_008370834.3
XP_008386731.2, XM_008388509.3
XP_017183319.1, XM_017327830.2
XP_008360344.2, XM_008362122.3
XP_017192281.2, XM_017336792.2
XP_008339878.2, XM_008341656.3
XP_008389453.2, XM_008391231.3
XP_008351778.1, XM_008353556.3
XP_008371680.3, XM_008373458.3
XP_008383790.2, XM_008385568.3
XP_028956295.1, XM_029100462.1
XP_028956843.1, XM_029101010.1
XP_008355065.2, XM_008356843.3
XP_008359797.2, XM_008361575.3
XP_028946288.1, XM_029090455.1
XP_028957072.1, XM_029101239.1
XP_008382462.2, XM_008384240.3
XP_008363323.2, XM_008365101.3
XP_008389533.2, XM_008391311.3
XP_017178956.2, XM_017323467.2
XP_008339223.2, XM_008341001.3
XP_008369924.2, XM_008371702.3
XP_008387784.2, XM_008389562.3
XP_008339979.2, XM_008341757.3
XP_008371975.2, XM_008373753.3
XP_008348058.2, XM_008349836.3
XP_008375372.1, XM_008377150.3
XP_008350137.2, XM_008351915.3
XP_008376347.2, XM_008378125.3
XP_008371438.1, XM_008373216.3
XP_008376813.1, XM_008378591.3
XP_008390893.1, XM_008392671.3
XP_028966265.1, XM_029110432.1
XP_008337065.2, XM_008338843.2
XP_028962155.1, XM_029106322.1
XP_008342810.1, XM_008344588.3
XP_028953028.1, XM_029097195.1
XP_008389009.1, XM_008390787.3
XP_008363833.2, XM_008365611.3
XP_008358276.2, XM_008360054.3
XP_028944320.1, XM_029088487.1
XP_008342811.1, XM_008344589.3
XP_008362809.1, XM_008364587.3
XP_008374691.1, XM_008376469.3
XP_028947952.1, XM_029092119.1
XP_008387510.2, XM_008389288.3
XP_008392553.2, XM_008394331.3
XP_008349147.2, XM_008350925.3
XP_028965523.1, XM_029109690.1
XP_008390351.1, XM_008392129.3
XP_008342255.2, XM_008344033.3
XP_008392781.1, XM_008394559.3
XP_008371359.2, XM_008373137.3
XP_008383748.2, XM_008385526.3
XP_008367633.1, XM_008369411.3
XP_008387130.2, XM_008388908.3
XP_008362009.2, XM_008363787.3
XP_028947350.1, XM_029091517.1
XP_008390771.2, XM_008392549.3
XP_008370971.1, XM_008372749.3
XP_008374060.1, XM_008375838.3
XP_008356398.2, XM_008358176.3
XP_028957774.1, XM_029101941.1
XP_008339953.2, XM_008341731.3
XP_008339954.2, XM_008341732.3
XP_008389548.1, XM_008391326.3
XP_008349997.1, XM_008351775.3
XP_008369166.1, XM_008370944.3
XP_008374721.1, XM_008376499.3
XP_028948970.1, XM_029093137.1
XP_028961690.1, XM_029105857.1
XP_008387032.2, XM_008388810.3
XP_008391878.2, XM_008393656.3
XP_008346268.1, XM_008348046.3
XP_008361271.2, XM_008363049.3
XP_008360765.2, XM_008362543.3
XP_008361022.1, XM_008362800.3
XP_008373021.2, XM_008374799.3
XP_008376881.1, XM_008378659.3
XP_008354213.1, XM_008355991.3
XP_028943909.1, XM_029088076.1
XP_008343974.2, XM_008345752.3
XP_008340413.1, XM_008342191.3
XP_008389055.2, XM_008390833.3
XP_008366653.2, XM_008368431.3
XP_008363462.2, XM_008365240.3
XP_028963711.1, XM_029107878.1
XP_008345825.2, XM_008347603.3
XP_008358754.2, XM_008360532.2
XP_028947227.1, XM_029091394.1
XP_008361798.2, XM_008363576.3
XP_008389575.1, XM_008391353.3
XP_008378723.2, XM_008380501.3
XP_008342000.2, XM_008343778.3
XP_008379631.1, XM_008381409.3
XP_008389353.2, XM_008391131.2
XP_008340257.1, XM_008342035.3
XP_008343082.1, XM_008344860.3
XP_008351381.2, XM_008353159.3
XP_028943613.1, XM_029087780.1
XP_008370505.2, XM_008372283.3
XP_028945860.1, XM_029090027.1
XP_008380962.1, XM_008382740.3
XP_008384255.2, XM_008386033.3
XP_008391296.1, XM_008393074.3
XP_008366467.2, XM_008368245.3
XP_008377567.2, XM_008379345.3
XP_008386399.2, XM_008388177.3
XP_008340909.1, XM_008342687.3
XP_008390818.2, XM_008392596.3
XP_028951425.1, XM_029095592.1
XP_028945408.1, XM_029089575.1
XP_008342662.2, XM_008344440.3
XP_008393974.2, XM_008395752.3
XP_028953188.1, XM_029097355.1
XP_028963706.1, XM_029107873.1
XP_008357070.2, XM_008358848.3
XP_008362785.1, XM_008364563.3
XP_017188815.1, XM_017333326.2
XP_008352428.1, XM_008354206.3
XP_008376459.1, XM_008378237.3
XP_008374375.1, XM_008376153.3
XP_028948383.1, XM_029092550.1
XP_008362722.3, XM_008364500.3
XP_017189705.1, XM_017334216.2
XP_008358740.2, XM_008360518.3
XP_008371126.2, XM_008372904.3
XP_008393154.2, XM_008394932.3
XP_008360847.2, XM_008362625.3
XP_008374552.1, XM_008376330.3
XP_008390132.2, XM_008391910.3
XP_008342179.2, XM_008343957.3
XP_008379971.2, XM_008381749.3
XP_008366363.1, XM_008368141.3
XP_028957957.1, XM_029102124.1
XP_008382194.2, XM_008383972.3
XP_008380612.1, XM_008382390.3
XP_008373580.2, XM_008375358.3
XP_008375784.1, XM_008377562.3
XP_008373474.1, XM_008375252.3
XP_008341539.2, XM_008343317.3
XP_008342396.2, XM_008344174.3
XP_028964016.1, XM_029108183.1
XP_028964017.1, XM_029108184.1
XP_028954429.1, XM_029098596.1
XP_028960999.1, XM_029105166.1
XP_008360431.2, XM_008362209.3
XP_028958222.1, XM_029102389.1
XP_028958223.1, XM_029102390.1
XP_008379532.1, XM_008381310.3
XP_028952923.1, XM_029097090.1
XP_008337588.2, XM_008339366.3
XP_028949020.1, XM_029093187.1
XP_008393556.1, XM_008395334.3
XP_008337793.1, XM_008339571.3
XP_028961808.1, XM_029105975.1
XP_008363720.2, XM_008365498.3
XP_008386719.1, XM_008388497.3
XP_008393863.2, XM_008395641.3
XP_008387346.1, XM_008389124.3
XP_008380840.2, XM_008382618.3
XP_008339788.2, XM_008341566.3
XP_008386707.2, XM_008388485.3
XP_028956240.1, XM_029100407.1
XP_008349572.2, XM_008351350.3
XP_008355188.2, XM_008356966.2
XP_008370674.2, XM_008372452.2
XP_028945958.1, XM_029090125.1
XP_008354826.2, XM_008356604.2
XP_028961175.1, XM_029105342.1
XP_008387945.1, XM_008389723.3
XP_017191518.1, XM_017336029.2
XP_008384124.1, XM_008385902.3
XP_008394280.2, XM_008396058.3
XP_008368465.2, XM_008370243.3
XP_008338773.1, XM_008340551.3
XP_008346641.2, XM_008348419.3
XP_028960996.1, XM_029105163.1
XP_008385907.2, XM_008387685.3
XP_017182405.1, XM_017326916.2
XP_008343089.2, XM_008344867.3
XP_008341902.1, XM_008343680.3
XP_008337503.2, XM_008339281.3
XP_008387155.2, XM_008388933.3
XP_008374704.1, XM_008376482.3
XP_028947924.1, XM_029092091.1
XP_028964163.1, XM_029108330.1
XP_008367210.2, XM_008368988.3
XP_008367999.2, XM_008369777.3
