protein, rna
XP_016575740.1, XM_016720254.1
XP_016577215.1, XM_016721729.1
XP_016542654.1, XM_016687168.1
XP_016548964.1, XM_016693478.1
XP_016560434.1, XM_016704948.1
XP_016545938.1, XM_016690452.1
XP_016539041.1, XM_016683555.1
XP_016571792.1, XM_016716306.1
XP_016568326.1, XM_016712840.1
XP_016539486.1, XM_016684000.1
XP_016562060.1, XM_016706574.1
XP_016581283.1, XM_016725797.1
XP_016569195.1, XM_016713709.1
XP_016569196.1, XM_016713710.1
XP_016581118.1, XM_016725632.1
XP_016541490.1, XM_016686004.1
XP_016563228.1, XM_016707742.1
XP_016563229.1, XM_016707743.1
XP_016563641.1, XM_016708155.1
XP_016569716.1, XM_016714230.1
XP_016541276.1, XM_016685790.1
XP_016565910.1, XM_016710424.1
XP_016546323.1, XM_016690837.1
XP_016547253.1, XM_016691767.1
XP_016547254.1, XM_016691768.1
XP_016547275.1, XM_016691789.1
XP_016565979.1, XM_016710493.1
XP_016567940.1, XM_016712454.1
XP_016538288.1, XM_016682802.1
XP_016537673.1, XM_016682187.1
XP_016552091.1, XM_016696605.1
XP_016563239.1, XM_016707753.1
XP_016545964.1, XM_016690478.1
XP_016540406.1, XM_016684920.1
XP_016542465.1, XM_016686979.1
XP_016580177.1, XM_016724691.1
XP_016581103.1, XM_016725617.1
XP_016547461.1, XM_016691975.1
XP_016573769.1, XM_016718283.1
XP_016573770.1, XM_016718284.1
XP_016557475.1, XM_016701989.1
XP_016565828.1, XM_016710342.1
XP_016567486.1, XM_016712000.1
XP_016560423.1, XM_016704937.1
XP_016541912.1, XM_016686426.1
XP_016542296.1, XM_016686810.1
XP_016561463.1, XM_016705977.1
XP_016542869.1, XM_016687383.1
XP_016548395.1, XM_016692909.1
XP_016565706.1, XM_016710220.1
XP_016543038.1, XM_016687552.1
XP_016547566.1, XM_016692080.1
XP_016570265.1, XM_016714779.1
XP_016570274.1, XM_016714788.1
XP_016570281.1, XM_016714795.1
XP_016557288.1, XM_016701802.1
XP_016567515.1, XM_016712029.1
XP_016575306.1, XM_016719820.1
XP_016562044.1, XM_016706558.1
XP_016578095.1, XM_016722609.1
XP_016570668.1, XM_016715182.1
XP_016560064.1, XM_016704578.1
XP_016571630.1, XM_016716144.1
XP_016562881.1, XM_016707395.1
XP_016540320.1, XM_016684834.1
XP_016581416.1, XM_016725930.1
XP_016577622.1, XM_016722136.1
XP_016562972.1, XM_016707486.1
XP_016560103.1, XM_016704617.1
XP_016563413.1, XM_016707927.1
XP_016557013.1, XM_016701527.1
XP_016541741.1, XM_016686255.1
XP_016553921.1, XM_016698435.1
XP_016551642.1, XM_016696156.1
XP_016580455.1, XM_016724969.1
XP_016566709.1, XM_016711223.1
XP_016559473.1, XM_016703987.1
XP_016577163.1, XM_016721677.1
XP_016561828.1, XM_016706342.1
XP_016567986.1, XM_016712500.1
XP_016541294.1, XM_016685808.1
XP_016549657.1, XM_016694171.1
XP_016557522.1, XM_016702036.1
XP_016555789.1, XM_016700303.1
XP_016539261.1, XM_016683775.1
XP_016548228.1, XM_016692742.1
XP_016581201.1, XM_016725715.1
XP_016569435.1, XM_016713949.1
