protein, rna
Cicer_arietinum-XP_004496518.1, Cicer_arietinum-XM_004496461.3
Cicer_arietinum-XP_004507163.1, Cicer_arietinum-XM_004507106.3
Cicer_arietinum-XP_027189672.1, Cicer_arietinum-XM_027333871.1
Cicer_arietinum-XP_004512964.1, Cicer_arietinum-XM_004512907.3
Cicer_arietinum-XP_004512181.1, Cicer_arietinum-XM_004512124.3
Cicer_arietinum-XP_004493277.1, Cicer_arietinum-XM_004493220.3
Cicer_arietinum-XP_027189949.1, Cicer_arietinum-XM_027334148.1
Cicer_arietinum-XP_004507372.1, Cicer_arietinum-XM_004507315.3
Cicer_arietinum-XP_004499312.1, Cicer_arietinum-XM_004499255.3
Cicer_arietinum-XP_004496924.1, Cicer_arietinum-XM_004496867.3
Cicer_arietinum-XP_004485830.1, Cicer_arietinum-XM_004485773.3
Cicer_arietinum-XP_004487664.1, Cicer_arietinum-XM_004487607.3
Cicer_arietinum-XP_004493520.1, Cicer_arietinum-XM_004493463.3
Cicer_arietinum-XP_004490903.1, Cicer_arietinum-XM_004490846.3
Cicer_arietinum-XP_004515906.1, Cicer_arietinum-XM_004515849.3
Cicer_arietinum-XP_004508747.2, Cicer_arietinum-XM_004508690.3
Cicer_arietinum-XP_004506673.1, Cicer_arietinum-XM_004506616.3
Cicer_arietinum-XP_004502520.1, Cicer_arietinum-XM_004502463.3
Cicer_arietinum-XP_004493962.1, Cicer_arietinum-XM_004493905.3
Cicer_arietinum-XP_004503597.1, Cicer_arietinum-XM_004503540.3
Cicer_arietinum-XP_004513752.1, Cicer_arietinum-XM_004513695.3
Cicer_arietinum-XP_004489649.1, Cicer_arietinum-XM_004489592.3
Cicer_arietinum-XP_004487063.1, Cicer_arietinum-XM_004487006.3
Cicer_arietinum-XP_004506081.1, Cicer_arietinum-XM_004506024.3
Cicer_arietinum-XP_004503606.1, Cicer_arietinum-XM_004503549.3
Cicer_arietinum-XP_012569751.2, Cicer_arietinum-XM_012714297.2
Cicer_arietinum-XP_004498675.1, Cicer_arietinum-XM_004498618.3
Cicer_arietinum-XP_004500710.1, Cicer_arietinum-XM_004500653.3
Cicer_arietinum-XP_004504023.1, Cicer_arietinum-XM_004503966.3
Cicer_arietinum-XP_004508732.1, Cicer_arietinum-XM_004508675.3
Cicer_arietinum-XP_004507195.1, Cicer_arietinum-XM_004507138.2
