protein, rna
Solanum_pennellii-XP_015077179.1, Solanum_pennellii-XM_015221693.2
Solanum_pennellii-XP_015078090.1, Solanum_pennellii-XM_015222604.2
Solanum_pennellii-XP_015088245.1, Solanum_pennellii-XM_015232759.2
Solanum_pennellii-XP_015088387.1, Solanum_pennellii-XM_015232901.2
Solanum_pennellii-XP_015068794.2, Solanum_pennellii-XM_015213308.2
Solanum_pennellii-XP_015066912.1, Solanum_pennellii-XM_015211426.2
Solanum_pennellii-XP_015089062.1, Solanum_pennellii-XM_015233576.2
Solanum_pennellii-XP_015062613.1, Solanum_pennellii-XM_015207127.2
Solanum_pennellii-XP_015056094.1, Solanum_pennellii-XM_015200608.2
Solanum_pennellii-XP_015073654.1, Solanum_pennellii-XM_015218168.2
Solanum_pennellii-XP_015070499.1, Solanum_pennellii-XM_015215013.2
Solanum_pennellii-XP_015067156.1, Solanum_pennellii-XM_015211670.2
Solanum_pennellii-XP_015081069.1, Solanum_pennellii-XM_015225583.2
Solanum_pennellii-XP_015068330.1, Solanum_pennellii-XM_015212844.2
Solanum_pennellii-XP_015082835.1, Solanum_pennellii-XM_015227349.2
Solanum_pennellii-XP_015086163.1, Solanum_pennellii-XM_015230677.2
Solanum_pennellii-XP_015070901.1, Solanum_pennellii-XM_015215415.2
Solanum_pennellii-XP_015068108.1, Solanum_pennellii-XM_015212622.2
Solanum_pennellii-XP_015058344.1, Solanum_pennellii-XM_015202858.2
Solanum_pennellii-XP_015060653.2, Solanum_pennellii-XM_015205167.2
Solanum_pennellii-XP_015060654.2, Solanum_pennellii-XM_015205168.2
Solanum_pennellii-XP_015085882.1, Solanum_pennellii-XM_015230396.2
Solanum_pennellii-XP_015055262.1, Solanum_pennellii-XM_015199776.2
Solanum_pennellii-XP_015058970.1, Solanum_pennellii-XM_015203484.2
Solanum_pennellii-XP_015058211.1, Solanum_pennellii-XM_015202725.2
Solanum_pennellii-XP_015085081.1, Solanum_pennellii-XM_015229595.2
Solanum_pennellii-XP_015086684.1, Solanum_pennellii-XM_015231198.2
Solanum_pennellii-XP_015057408.1, Solanum_pennellii-XM_015201922.2
Solanum_pennellii-XP_015079702.1, Solanum_pennellii-XM_015224216.2
Solanum_pennellii-XP_015074332.1, Solanum_pennellii-XM_015218846.2
Solanum_pennellii-XP_015069520.1, Solanum_pennellii-XM_015214034.2
Solanum_pennellii-XP_015089101.1, Solanum_pennellii-XM_015233615.2
Solanum_pennellii-XP_015062597.1, Solanum_pennellii-XM_015207111.2
Solanum_pennellii-XP_015087802.1, Solanum_pennellii-XM_015232316.2
Solanum_pennellii-XP_015082692.1, Solanum_pennellii-XM_015227206.2
Solanum_pennellii-XP_015062964.1, Solanum_pennellii-XM_015207478.2
Solanum_pennellii-XP_015075106.1, Solanum_pennellii-XM_015219620.2
Solanum_pennellii-XP_015074748.1, Solanum_pennellii-XM_015219262.2
Solanum_pennellii-XP_015070724.1, Solanum_pennellii-XM_015215238.2
Solanum_pennellii-XP_015087362.1, Solanum_pennellii-XM_015231876.2
Solanum_pennellii-XP_015083504.1, Solanum_pennellii-XM_015228018.2
Solanum_pennellii-XP_015066008.1, Solanum_pennellii-XM_015210522.2
Solanum_pennellii-XP_015088651.1, Solanum_pennellii-XM_015233165.2
Solanum_pennellii-XP_015086460.1, Solanum_pennellii-XM_015230974.2
Solanum_pennellii-XP_015066013.1, Solanum_pennellii-XM_015210527.2
Solanum_pennellii-XP_015083925.1, Solanum_pennellii-XM_015228439.2
Solanum_pennellii-XP_015074635.1, Solanum_pennellii-XM_015219149.2
Solanum_pennellii-XP_015088725.1, Solanum_pennellii-XM_015233239.2
Solanum_pennellii-XP_015055687.1, Solanum_pennellii-XM_015200201.2
Solanum_pennellii-XP_015076308.1, Solanum_pennellii-XM_015220822.1
Solanum_pennellii-XP_015083784.1, Solanum_pennellii-XM_015228298.1
Solanum_pennellii-XP_015055855.1, Solanum_pennellii-XM_015200369.2
Solanum_pennellii-XP_015067784.1, Solanum_pennellii-XM_015212298.2
Solanum_pennellii-XP_015070658.1, Solanum_pennellii-XM_015215172.2
Solanum_pennellii-XP_015066310.1, Solanum_pennellii-XM_015210824.2
Solanum_pennellii-XP_015079616.1, Solanum_pennellii-XM_015224130.1
Solanum_pennellii-XP_015070726.1, Solanum_pennellii-XM_015215240.2
Solanum_pennellii-XP_015064387.1, Solanum_pennellii-XM_015208901.2
Solanum_pennellii-XP_015072924.1, Solanum_pennellii-XM_015217438.2
Solanum_pennellii-XP_015070623.1, Solanum_pennellii-XM_015215137.2
Solanum_pennellii-XP_015061573.1, Solanum_pennellii-XM_015206087.2
Solanum_pennellii-XP_015080812.1, Solanum_pennellii-XM_015225326.2
Solanum_pennellii-XP_015079077.1, Solanum_pennellii-XM_015223591.2
Solanum_pennellii-XP_015067594.1, Solanum_pennellii-XM_015212108.2
Solanum_pennellii-XP_015066461.1, Solanum_pennellii-XM_015210975.2
Solanum_pennellii-XP_015071178.1, Solanum_pennellii-XM_015215692.2
Solanum_pennellii-XP_015086555.1, Solanum_pennellii-XM_015231069.2
Solanum_pennellii-XP_015088453.1, Solanum_pennellii-XM_015232967.2
Solanum_pennellii-XP_027767552.1, Solanum_pennellii-XM_027911751.1
Solanum_pennellii-XP_015055512.1, Solanum_pennellii-XM_015200026.2
Solanum_pennellii-XP_015061201.1, Solanum_pennellii-XM_015205715.2
Solanum_pennellii-XP_015082391.1, Solanum_pennellii-XM_015226905.2
Solanum_pennellii-XP_027774056.1, Solanum_pennellii-XM_027918255.1
Solanum_pennellii-XP_015083302.1, Solanum_pennellii-XM_015227816.2
Solanum_pennellii-XP_015066584.1, Solanum_pennellii-XM_015211098.2
Solanum_pennellii-XP_015077354.1, Solanum_pennellii-XM_015221868.2
Solanum_pennellii-XP_015070694.1, Solanum_pennellii-XM_015215208.2
Solanum_pennellii-XP_015086432.1, Solanum_pennellii-XM_015230946.2
Solanum_pennellii-XP_015064171.1, Solanum_pennellii-XM_015208685.2
Solanum_pennellii-XP_015056824.1, Solanum_pennellii-XM_015201338.2
Solanum_pennellii-XP_015085458.1, Solanum_pennellii-XM_015229972.2
Solanum_pennellii-XP_015078244.1, Solanum_pennellii-XM_015222758.2
Solanum_pennellii-XP_027774299.1, Solanum_pennellii-XM_027918498.1
Solanum_pennellii-XP_015074439.1, Solanum_pennellii-XM_015218953.2
Solanum_pennellii-XP_015080302.1, Solanum_pennellii-XM_015224816.2
Solanum_pennellii-XP_015071758.1, Solanum_pennellii-XM_015216272.2
Solanum_pennellii-XP_015077356.1, Solanum_pennellii-XM_015221870.2
Solanum_pennellii-XP_015071642.1, Solanum_pennellii-XM_015216156.2
Solanum_pennellii-XP_015087821.1, Solanum_pennellii-XM_015232335.2
Solanum_pennellii-XP_015055345.1, Solanum_pennellii-XM_015199859.2
Solanum_pennellii-XP_015068540.1, Solanum_pennellii-XM_015213054.2
Solanum_pennellii-XP_015073752.1, Solanum_pennellii-XM_015218266.2
Solanum_pennellii-XP_015070501.1, Solanum_pennellii-XM_015215015.2
Solanum_pennellii-XP_015087273.1, Solanum_pennellii-XM_015231787.2
Solanum_pennellii-XP_015061569.1, Solanum_pennellii-XM_015206083.2
Solanum_pennellii-XP_015066888.1, Solanum_pennellii-XM_015211402.2
Solanum_pennellii-XP_015086145.1, Solanum_pennellii-XM_015230659.2
Solanum_pennellii-XP_015082996.1, Solanum_pennellii-XM_015227510.2
Solanum_pennellii-XP_015066723.1, Solanum_pennellii-XM_015211237.1
Solanum_pennellii-XP_015082514.1, Solanum_pennellii-XM_015227028.2
Solanum_pennellii-XP_015076154.1, Solanum_pennellii-XM_015220668.2
Solanum_pennellii-XP_015056516.1, Solanum_pennellii-XM_015201030.2
Solanum_pennellii-XP_015061350.1, Solanum_pennellii-XM_015205864.2
Solanum_pennellii-XP_015076387.1, Solanum_pennellii-XM_015220901.2
Solanum_pennellii-XP_015065352.1, Solanum_pennellii-XM_015209866.2
Solanum_pennellii-XP_015083663.1, Solanum_pennellii-XM_015228177.2
Solanum_pennellii-XP_015062563.1, Solanum_pennellii-XM_015207077.2
Solanum_pennellii-XP_015077483.1, Solanum_pennellii-XM_015221997.2
Solanum_pennellii-XP_015069496.1, Solanum_pennellii-XM_015214010.2
Solanum_pennellii-XP_015068826.1, Solanum_pennellii-XM_015213340.1
Solanum_pennellii-XP_015070619.1, Solanum_pennellii-XM_015215133.2
Solanum_pennellii-XP_015055571.1, Solanum_pennellii-XM_015200085.2
Solanum_pennellii-XP_015089471.1, Solanum_pennellii-XM_015233985.2
Solanum_pennellii-XP_015080055.1, Solanum_pennellii-XM_015224569.2
Solanum_pennellii-XP_015088112.1, Solanum_pennellii-XM_015232626.2
Solanum_pennellii-XP_015067840.1, Solanum_pennellii-XM_015212354.2
Solanum_pennellii-XP_015085749.1, Solanum_pennellii-XM_015230263.2
Solanum_pennellii-XP_027774335.1, Solanum_pennellii-XM_027918534.1
Solanum_pennellii-XP_015070276.1, Solanum_pennellii-XM_015214790.2
Solanum_pennellii-XP_015069053.1, Solanum_pennellii-XM_015213567.2
Solanum_pennellii-XP_015065820.1, Solanum_pennellii-XM_015210334.2
Solanum_pennellii-XP_015071110.1, Solanum_pennellii-XM_015215624.2
Solanum_pennellii-XP_015070152.1, Solanum_pennellii-XM_015214666.2
Solanum_pennellii-XP_015073156.1, Solanum_pennellii-XM_015217670.2
Solanum_pennellii-XP_015063296.1, Solanum_pennellii-XM_015207810.2
Solanum_pennellii-XP_015070678.1, Solanum_pennellii-XM_015215192.2
Solanum_pennellii-XP_015069519.1, Solanum_pennellii-XM_015214033.2
Solanum_pennellii-XP_015064513.1, Solanum_pennellii-XM_015209027.2
Solanum_pennellii-XP_015081022.1, Solanum_pennellii-XM_015225536.2
Solanum_pennellii-XP_015057483.1, Solanum_pennellii-XM_015201997.2
Solanum_pennellii-XP_015056462.1, Solanum_pennellii-XM_015200976.2
Solanum_pennellii-XP_015087653.1, Solanum_pennellii-XM_015232167.2
Solanum_pennellii-XP_015084950.1, Solanum_pennellii-XM_015229464.2
Solanum_pennellii-XP_015060576.1, Solanum_pennellii-XM_015205090.2
Solanum_pennellii-XP_015083472.1, Solanum_pennellii-XM_015227986.2
Solanum_pennellii-XP_015066832.1, Solanum_pennellii-XM_015211346.2
Solanum_pennellii-XP_015056187.1, Solanum_pennellii-XM_015200701.2
Solanum_pennellii-XP_015062254.1, Solanum_pennellii-XM_015206768.2
Solanum_pennellii-XP_015089434.1, Solanum_pennellii-XM_015233948.2
Solanum_pennellii-XP_015087586.1, Solanum_pennellii-XM_015232100.2
Solanum_pennellii-XP_015063768.1, Solanum_pennellii-XM_015208282.2
Solanum_pennellii-XP_015084581.1, Solanum_pennellii-XM_015229095.2
Solanum_pennellii-XP_015083398.1, Solanum_pennellii-XM_015227912.2
Solanum_pennellii-XP_015081039.1, Solanum_pennellii-XM_015225553.2
Solanum_pennellii-XP_015070545.1, Solanum_pennellii-XM_015215059.2
Solanum_pennellii-XP_015082901.1, Solanum_pennellii-XM_015227415.2
Solanum_pennellii-XP_015085643.1, Solanum_pennellii-XM_015230157.2
Solanum_pennellii-XP_015056315.1, Solanum_pennellii-XM_015200829.2
Solanum_pennellii-XP_015070385.1, Solanum_pennellii-XM_015214899.2
Solanum_pennellii-XP_015074993.1, Solanum_pennellii-XM_015219507.2
Solanum_pennellii-XP_015086190.1, Solanum_pennellii-XM_015230704.2
Solanum_pennellii-XP_015086362.1, Solanum_pennellii-XM_015230876.2
Solanum_pennellii-XP_015062694.1, Solanum_pennellii-XM_015207208.2
Solanum_pennellii-XP_015056583.1, Solanum_pennellii-XM_015201097.2
Solanum_pennellii-XP_015074403.1, Solanum_pennellii-XM_015218917.2
Solanum_pennellii-XP_015061235.1, Solanum_pennellii-XM_015205749.2
Solanum_pennellii-XP_015080453.1, Solanum_pennellii-XM_015224967.2
Solanum_pennellii-XP_015069362.1, Solanum_pennellii-XM_015213876.2
Solanum_pennellii-XP_015066000.1, Solanum_pennellii-XM_015210514.1
Solanum_pennellii-XP_015080660.1, Solanum_pennellii-XM_015225174.2
Solanum_pennellii-XP_015069771.1, Solanum_pennellii-XM_015214285.2
Solanum_pennellii-XP_015060695.1, Solanum_pennellii-XM_015205209.1
Solanum_pennellii-XP_015076271.1, Solanum_pennellii-XM_015220785.2
Solanum_pennellii-XP_015059762.1, Solanum_pennellii-XM_015204276.2
Solanum_pennellii-XP_015067854.1, Solanum_pennellii-XM_015212368.2
Solanum_pennellii-XP_027771352.1, Solanum_pennellii-XM_027915551.1
Solanum_pennellii-XP_015058128.1, Solanum_pennellii-XM_015202642.2
Solanum_pennellii-XP_015056687.1, Solanum_pennellii-XM_015201201.2
Solanum_pennellii-XP_015074649.1, Solanum_pennellii-XM_015219163.2
Solanum_pennellii-XP_015065879.1, Solanum_pennellii-XM_015210393.2
Solanum_pennellii-XP_015089359.1, Solanum_pennellii-XM_015233873.2
Solanum_pennellii-XP_015062287.1, Solanum_pennellii-XM_015206801.1
Solanum_pennellii-XP_027770586.1, Solanum_pennellii-XM_027914785.1
Solanum_pennellii-XP_027770587.1, Solanum_pennellii-XM_027914786.1
Solanum_pennellii-XP_015062279.1, Solanum_pennellii-XM_015206793.2
Solanum_pennellii-XP_015062280.1, Solanum_pennellii-XM_015206794.2
Solanum_pennellii-XP_015074060.1, Solanum_pennellii-XM_015218574.2
Solanum_pennellii-XP_015085738.1, Solanum_pennellii-XM_015230252.2
Solanum_pennellii-XP_015062774.1, Solanum_pennellii-XM_015207288.2
Solanum_pennellii-XP_015080477.1, Solanum_pennellii-XM_015224991.2
Solanum_pennellii-XP_015082270.1, Solanum_pennellii-XM_015226784.2
Solanum_pennellii-XP_015060997.1, Solanum_pennellii-XM_015205511.2
Solanum_pennellii-XP_015082509.1, Solanum_pennellii-XM_015227023.2
Solanum_pennellii-XP_015070249.1, Solanum_pennellii-XM_015214763.2
Solanum_pennellii-XP_015074775.1, Solanum_pennellii-XM_015219289.2
Solanum_pennellii-XP_015067285.1, Solanum_pennellii-XM_015211799.2
Solanum_pennellii-XP_015084873.1, Solanum_pennellii-XM_015229387.2
Solanum_pennellii-XP_015062101.1, Solanum_pennellii-XM_015206615.2
Solanum_pennellii-XP_015082997.1, Solanum_pennellii-XM_015227511.1
Solanum_pennellii-XP_015086756.1, Solanum_pennellii-XM_015231270.2
Solanum_pennellii-XP_015082538.1, Solanum_pennellii-XM_015227052.2
Solanum_pennellii-XP_015082935.1, Solanum_pennellii-XM_015227449.2
Solanum_pennellii-XP_015086368.1, Solanum_pennellii-XM_015230882.2
Solanum_pennellii-XP_015056049.1, Solanum_pennellii-XM_015200563.2
Solanum_pennellii-XP_015086195.1, Solanum_pennellii-XM_015230709.2
Solanum_pennellii-XP_015087731.1, Solanum_pennellii-XM_015232245.2
Solanum_pennellii-XP_015089015.1, Solanum_pennellii-XM_015233529.2
Solanum_pennellii-XP_015066920.1, Solanum_pennellii-XM_015211434.2
Solanum_pennellii-XP_015083341.1, Solanum_pennellii-XM_015227855.2
Solanum_pennellii-XP_015066054.1, Solanum_pennellii-XM_015210568.2
Solanum_pennellii-XP_015085146.1, Solanum_pennellii-XM_015229660.1
Solanum_pennellii-XP_015089353.1, Solanum_pennellii-XM_015233867.2
Solanum_pennellii-XP_015063612.1, Solanum_pennellii-XM_015208126.2
Solanum_pennellii-XP_015083043.1, Solanum_pennellii-XM_015227557.2
Solanum_pennellii-XP_015067127.1, Solanum_pennellii-XM_015211641.2
