protein, rna
NP_200093.1, NM_124659.2
NP_200768.1, NM_125352.4
NP_187576.1, NM_111799.4
NP_197462.1, NM_121966.2
NP_849966.2, NM_179635.4
NP_171635.1, NM_100010.3
NP_001184952.1, NM_001198023.2
NP_564546.1, NM_103835.2
NP_177735.1, NM_106257.3
NP_179106.1, NM_127064.4
NP_850223.2, NM_179892.4
NP_567771.1, NM_118872.4
NP_200075.1, NM_124641.2
NP_188108.1, NM_112352.4
NP_565853.1, NM_129244.4
NP_973615.2, NM_201886.2
NP_190345.1, NM_114629.4
NP_001330366.1, NM_001345135.1
NP_200365.1, NM_124936.3
NP_564147.1, NM_102017.3
NP_177457.2, NM_105972.4
NP_176631.1, NM_105125.3
NP_187018.1, NM_111239.3
NP_180377.2, NM_128370.3
NP_190074.1, NM_114357.6
NP_567691.1, NM_118526.3
NP_194585.1, NM_118998.1
NP_187835.2, NM_112063.4
NP_181831.1, NM_129864.3
NP_565524.1, NM_127766.3
NP_190337.1, NM_114621.3
NP_190963.1, NM_115255.4
NP_567130.1, NM_116123.4
NP_195902.1, NM_120360.4
NP_568854.1, NM_125117.4
NP_563947.1, NM_101301.5
NP_173998.2, NM_102439.3
NP_564561.1, NM_103885.4
NP_172576.1, NM_100982.3
NP_563661.1, NM_100150.3
NP_176504.1, NM_104994.4
NP_187569.1, NM_111792.3
NP_565885.1, NM_129383.3
NP_001325125.1, NM_001336686.1
NP_181341.2, NM_129362.4
NP_566101.1, NM_130313.3
NP_566015.1, NM_129995.2
NP_178363.1, NM_126315.5
NP_192673.1, NM_117003.3
NP_195836.5, NM_120294.6
NP_564985.1, NM_105684.4
NP_178067.1, NM_106597.4
NP_187329.1, NM_111553.4
NP_181645.1, NM_129677.4
NP_001190510.1, NM_001203581.1
NP_199924.1, NM_124490.5
NP_180953.1, NM_128957.4
NP_568447.1, NM_122357.3
NP_193225.1, NM_117575.4
NP_567623.2, NM_118250.5
NP_173570.1, NM_102000.3
NP_563986.1, NM_101466.3
NP_173349.1, NM_101773.3
NP_175984.1, NM_104465.4
NP_564338.1, NM_102730.2
NP_178202.1, NM_106735.3
NP_177842.1, NM_106367.4
NP_177543.1, NM_106062.4
NP_683542.1, NM_148700.2
NP_179517.1, NM_127484.4
NP_565364.1, NM_127030.4
NP_001327078.1, NM_001338292.1
