protein, rna
XP_012090173.1, XM_012234783.3
XP_012066972.2, XM_012211582.3
XP_012082283.1, XM_012226893.3
XP_012077512.1, XM_012222122.3
XP_012088455.1, XM_012233065.3
XP_012083200.1, XM_012227810.3
XP_012066642.1, XM_012211252.3
XP_012069230.1, XM_012213840.3
XP_012073721.1, XM_012218331.3
XP_012081496.1, XM_012226106.3
XP_037492461.1, XM_037636533.1
XP_012070657.1, XM_012215267.3
XP_012086111.1, XM_012230721.3
XP_012075833.1, XM_012220443.3
XP_037496388.1, XM_037640460.1
XP_037496389.1, XM_037640461.1
XP_037496390.1, XM_037640462.1
XP_012080260.1, XM_012224870.3
XP_012070960.1, XM_012215570.3
XP_012078271.1, XM_012222881.3
XP_037497560.1, XM_037641632.1
XP_012086699.1, XM_012231309.3
XP_012070365.1, XM_012214975.3
XP_012064719.2, XM_012209329.3
XP_012064674.1, XM_012209284.3
XP_012086693.1, XM_012231303.3
XP_012085276.3, XM_012229886.3
XP_012068703.1, XM_012213313.3
XP_012070326.1, XM_012214936.3
XP_037495887.1, XM_037639959.1
XP_012080274.1, XM_012224884.3
XP_012087985.3, XM_012232595.3
XP_012082873.1, XM_012227483.3
XP_012082258.1, XM_012226868.3
XP_012075130.1, XM_012219740.3
XP_012067597.1, XM_012212207.3
XP_012067684.1, XM_012212294.3
XP_012093150.1, XM_012237760.3
XP_012091547.1, XM_012236157.3
XP_012082846.1, XM_012227456.3
XP_012086977.1, XM_012231587.3
XP_012076346.3, XM_012220956.3
XP_012087830.1, XM_012232440.3
XP_012087913.1, XM_012232523.3
XP_012089050.1, XM_012233660.3
XP_012092595.1, XM_012237205.2
XP_012091955.1, XM_012236565.3
XP_012075786.1, XM_012220396.3
XP_012074973.1, XM_012219583.3
XP_012092023.1, XM_012236633.3
XP_012078463.1, XM_012223073.3
XP_012068680.1, XM_012213290.3
XP_012079610.1, XM_012224220.3
XP_012090533.1, XM_012235143.3
XP_012091709.1, XM_012236319.3
XP_012080892.1, XM_012225502.3
XP_012069630.2, XM_012214240.3
XP_012091430.1, XM_012236040.3
XP_012091431.1, XM_012236041.3
XP_012078341.1, XM_012222951.3
XP_012067497.1, XM_012212107.3
XP_012077080.1, XM_012221690.3
XP_012071019.1, XM_012215629.3
XP_012064882.1, XM_012209492.3
XP_012067489.1, XM_012212099.3
XP_012088411.1, XM_012233021.3
XP_012092922.1, XM_012237532.3
XP_012082497.1, XM_012227107.3
XP_012068474.1, XM_012213084.3
XP_012093166.1, XM_012237776.3
XP_012084202.1, XM_012228812.3
XP_012081511.1, XM_012226121.3
XP_012079836.1, XM_012224446.3
XP_012091592.1, XM_012236202.3
XP_012077211.1, XM_012221821.3
XP_012074270.1, XM_012218880.3
XP_020535676.1, XM_020680017.2
XP_012069638.1, XM_012214248.2
XP_012069459.1, XM_012214069.3
XP_012082180.1, XM_012226790.3
XP_012086717.1, XM_012231327.3
XP_012069148.1, XM_012213758.3
XP_037492037.1, XM_037636109.1
XP_037491750.1, XM_037635822.1
XP_037492331.1, XM_037636403.1
XP_012092958.1, XM_012237568.3
XP_012073393.1, XM_012218003.3
XP_012073003.1, XM_012217613.3
XP_012083814.1, XM_012228424.3
XP_012079915.1, XM_012224525.3
XP_037492353.1, XM_037636425.1
XP_012090944.1, XM_012235554.3
XP_012077760.1, XM_012222370.3
XP_012076688.1, XM_012221298.3
XP_012068556.1, XM_012213166.2
XP_012082503.1, XM_012227113.3
XP_037497280.1, XM_037641352.1
XP_012091347.1, XM_012235957.3
XP_012070805.1, XM_012215415.3
XP_012092040.1, XM_012236650.3
XP_012077448.1, XM_012222058.3
XP_012086328.1, XM_012230938.3
XP_012080496.1, XM_012225106.2
XP_037494792.1, XM_037638864.1
XP_012083550.1, XM_012228160.3
XP_012080818.1, XM_012225428.3
XP_012089094.1, XM_012233704.3
XP_012069268.1, XM_012213878.3
XP_037497412.1, XM_037641484.1
XP_012069041.1, XM_012213651.3
XP_012089641.1, XM_012234251.3
XP_037492113.1, XM_037636185.1
XP_037492832.1, XM_037636904.1
XP_037492833.1, XM_037636905.1
XP_037494708.1, XM_037638780.1
XP_012074894.1, XM_012219504.3
XP_012073396.1, XM_012218006.3
XP_012076316.1, XM_012220926.3
XP_012080610.1, XM_012225220.3
XP_037491479.1, XM_037635551.1
XP_012070241.1, XM_012214851.3
XP_012090175.1, XM_012234785.3
XP_012088505.1, XM_012233115.2
XP_012090374.1, XM_012234984.2
