protein, rna
XP_007220871.1, XM_007220809.2
XP_007208585.2, XM_007208523.2
XP_007206428.1, XM_007206366.2
XP_007203050.1, XM_007202988.2
XP_007202733.1, XM_007202671.2
XP_007220171.2, XM_007220109.2
XP_020411443.1, XM_020555854.1
XP_020426374.1, XM_020570785.1
XP_007226472.1, XM_007226410.2
XP_007199336.2, XM_007199274.2
XP_007214508.1, XM_007214446.2
XP_007212286.1, XM_007212224.2
XP_007204553.2, XM_007204491.2
XP_007214411.1, XM_007214349.2
XP_007204718.1, XM_007204656.2
XP_007209379.2, XM_007209317.2
XP_020418681.1, XM_020563092.1
XP_007223068.2, XM_007223006.2
XP_007211792.1, XM_007211730.2
XP_007209242.1, XM_007209180.2
XP_007204666.1, XM_007204604.2
XP_007205149.2, XM_007205087.2
XP_007208206.2, XM_007208144.2
XP_007210393.1, XM_007210331.2
XP_007200239.2, XM_007200177.2
XP_007218859.1, XM_007218797.2
XP_007218362.2, XM_007218300.2
XP_007205954.1, XM_007205892.2
XP_020419191.1, XM_020563602.1
XP_007208466.1, XM_007208404.2
XP_007200488.1, XM_007200426.2
XP_007207466.1, XM_007207404.2
XP_007225839.1, XM_007225777.2
XP_007225840.1, XM_007225778.2
XP_007222619.2, XM_007222557.2
XP_007201277.1, XM_007201215.2
XP_007211531.1, XM_007211469.2
XP_007201270.2, XM_007201208.2
XP_007200386.1, XM_007200324.2
XP_007206651.2, XM_007206589.2
XP_007205655.1, XM_007205593.2
XP_007208741.2, XM_007208679.2
XP_020425389.1, XM_020569800.1
XP_007218575.1, XM_007218513.2
XP_007224123.1, XM_007224061.2
XP_007223682.1, XM_007223620.2
XP_007206840.2, XM_007206778.2
XP_007222590.1, XM_007222528.2
XP_020417440.1, XM_020561851.1
XP_007219644.1, XM_007219582.2
XP_007203505.1, XM_007203443.2
XP_020424861.1, XM_020569272.1
XP_007218415.1, XM_007218353.2
XP_007214109.2, XM_007214047.2
XP_007218778.2, XM_007218716.2
XP_007227543.1, XM_007227481.2
XP_007211765.1, XM_007211703.2
XP_007224443.1, XM_007224381.2
XP_007215344.1, XM_007215282.2
XP_007202451.1, XM_007202389.2
XP_007211732.1, XM_007211670.2
XP_020421169.1, XM_020565580.1
XP_020416353.1, XM_020560764.1
XP_020414260.1, XM_020558671.1
XP_007209959.1, XM_007209897.2
XP_007203451.1, XM_007203389.2
XP_007225646.1, XM_007225584.2
XP_007199520.1, XM_007199458.2
XP_020409715.1, XM_020554126.1
XP_007215270.1, XM_007215208.2
XP_020419524.1, XM_020563935.1
XP_007211857.1, XM_007211795.2
XP_007227138.2, XM_007227076.2
XP_007204493.2, XM_007204431.2
XP_007225931.1, XM_007225869.2
XP_007226124.1, XM_007226062.2
XP_020418800.1, XM_020563211.1
XP_007209518.1, XM_007209456.2
XP_007200372.1, XM_007200310.2
XP_007225115.1, XM_007225053.2
XP_007211700.1, XM_007211638.2
XP_007200686.2, XM_007200624.2
XP_007209075.1, XM_007209013.2
XP_007218465.1, XM_007218403.2
XP_007202605.1, XM_007202543.2
XP_007219450.1, XM_007219388.2
XP_007209883.2, XM_007209821.2
XP_020423487.1, XM_020567898.1
XP_020423488.1, XM_020567899.1
XP_007218777.1, XM_007218715.2
XP_020422045.1, XM_020566456.1
XP_007202346.2, XM_007202284.2
XP_007222562.1, XM_007222500.2
XP_007203844.2, XM_007203782.2
XP_007215311.1, XM_007215249.2
XP_007211579.1, XM_007211517.2
XP_007225231.1, XM_007225169.2
XP_007224312.2, XM_007224250.2
XP_007226475.2, XM_007226413.2
XP_020421794.1, XM_020566205.1
XP_007223925.1, XM_007223863.2
XP_007225898.1, XM_007225836.2
XP_007223889.1, XM_007223827.2
XP_007218532.1, XM_007218470.2
XP_007205501.1, XM_007205439.2
XP_007208452.1, XM_007208390.2
XP_007215999.1, XM_007215937.2
XP_020417340.1, XM_020561751.1
XP_007215645.1, XM_007215583.2
XP_020413446.1, XM_020557857.1
XP_020417766.1, XM_020562177.1
XP_007222705.1, XM_007222643.2
XP_007208068.1, XM_007208006.2
XP_020414371.1, XM_020558782.1
XP_007223741.1, XM_007223679.2
XP_007215278.1, XM_007215216.2
XP_007219014.1, XM_007218952.2
XP_007219815.1, XM_007219753.2
XP_020423632.1, XM_020568043.1
XP_007218597.1, XM_007218535.2
XP_007211092.1, XM_007211030.2
XP_007201745.1, XM_007201683.2
XP_007211697.1, XM_007211635.2
XP_007209239.2, XM_007209177.2
XP_007209107.1, XM_007209045.2
XP_007225757.1, XM_007225695.2
XP_007217732.1, XM_007217670.2
XP_007201141.2, XM_007201079.2
XP_007199927.1, XM_007199865.2
XP_007225265.1, XM_007225203.2
XP_007209418.1, XM_007209356.2
XP_020412530.1, XM_020556941.1
XP_020419645.1, XM_020564056.1
XP_020419646.1, XM_020564057.1
XP_007215004.1, XM_007214942.2
XP_007215523.1, XM_007215461.2
XP_007218366.1, XM_007218304.2
XP_007205546.1, XM_007205484.2
XP_020426311.1, XM_020570722.1
XP_007215192.1, XM_007215130.2
XP_020419791.1, XM_020564202.1
XP_007222944.1, XM_007222882.2
XP_007202345.1, XM_007202283.2
XP_007218969.1, XM_007218907.2
XP_007199865.1, XM_007199803.2
XP_020409726.1, XM_020554137.1
XP_007200558.2, XM_007200496.2
XP_007215014.1, XM_007214952.2
XP_007224672.1, XM_007224610.2
XP_007201346.1, XM_007201284.2
XP_007205028.1, XM_007204966.2
XP_007205903.1, XM_007205841.2
XP_007211669.1, XM_007211607.2
XP_007222247.1, XM_007222185.2
XP_007222248.1, XM_007222186.2
XP_007202886.1, XM_007202824.2
XP_007212100.1, XM_007212038.2
XP_007227461.1, XM_007227399.2
XP_007218323.1, XM_007218261.2
XP_020423739.1, XM_020568150.1
XP_020423740.1, XM_020568151.1
XP_007215595.1, XM_007215533.2
XP_007217803.1, XM_007217741.2
XP_007203785.1, XM_007203723.2
XP_007210533.1, XM_007210471.2
XP_007215671.1, XM_007215609.2
XP_007212113.1, XM_007212051.2
XP_007217957.1, XM_007217895.2
XP_007206158.1, XM_007206096.2
XP_007206473.1, XM_007206411.2
XP_007211654.2, XM_007211592.2
XP_007222603.1, XM_007222541.2
XP_007215675.1, XM_007215613.2
XP_007203128.1, XM_007203066.2
XP_007201264.1, XM_007201202.2
XP_007210515.1, XM_007210453.2
XP_020420226.1, XM_020564637.1
XP_020426050.1, XM_020570461.1
XP_020413497.1, XM_020557908.1
XP_007202271.1, XM_007202209.2
XP_007206525.1, XM_007206463.2
XP_007222902.1, XM_007222840.2
XP_007205577.1, XM_007205515.2
XP_007219861.1, XM_007219799.2
XP_020420785.1, XM_020565196.1
XP_007218774.1, XM_007218712.2
XP_007210353.1, XM_007210291.2
XP_007199664.1, XM_007199602.2
XP_007215265.1, XM_007215203.2
XP_007207087.1, XM_007207025.2
XP_007211545.1, XM_007211483.2
XP_020423678.1, XM_020568089.1
XP_007206361.2, XM_007206299.2
XP_020422105.1, XM_020566516.1
XP_007220637.1, XM_007220575.2
XP_020422347.1, XM_020566758.1
XP_007199894.2, XM_007199832.2
XP_007202700.2, XM_007202638.2
XP_020415336.1, XM_020559747.1
XP_007208834.2, XM_007208772.2
XP_007217255.1, XM_007217193.2
XP_007227007.1, XM_007226945.2
XP_007204829.1, XM_007204767.2
XP_007217697.1, XM_007217635.2
XP_007215383.1, XM_007215321.2
XP_007204516.1, XM_007204454.2
XP_007215153.2, XM_007215091.2
XP_007217765.1, XM_007217703.2
XP_007225674.2, XM_007225612.2
XP_007209280.2, XM_007209218.2
XP_007225815.1, XM_007225753.2
XP_007222227.1, XM_007222165.2
XP_007225252.1, XM_007225190.2
XP_020410916.1, XM_020555327.1
XP_007223214.1, XM_007223152.2
XP_007225963.1, XM_007225901.2
XP_007220896.2, XM_007220834.2
XP_007205230.2, XM_007205168.2
XP_007201005.1, XM_007200943.2
XP_007208596.1, XM_007208534.2
XP_007199915.1, XM_007199853.2
XP_007206297.2, XM_007206235.2
XP_007201801.1, XM_007201739.2
XP_007221492.1, XM_007221430.2
XP_007207192.2, XM_007207130.2
XP_020423834.1, XM_020568245.1
XP_007200960.1, XM_007200898.2
XP_007223372.1, XM_007223310.2
XP_007210279.1, XM_007210217.2
XP_007215525.1, XM_007215463.2
XP_007200083.2, XM_007200021.2
XP_007207382.2, XM_007207320.2
XP_007218540.1, XM_007218478.2
XP_007201265.2, XM_007201203.2
XP_020424965.1, XM_020569376.1
XP_020424966.1, XM_020569377.1
XP_020424967.1, XM_020569378.1
XP_020424968.1, XM_020569379.1
XP_007215940.2, XM_007215878.2
XP_020416225.1, XM_020560636.1
XP_007199919.1, XM_007199857.2
XP_007217615.1, XM_007217553.2
XP_020410820.1, XM_020555231.1
XP_020416338.1, XM_020560749.1
XP_007224721.2, XM_007224659.2
XP_007225895.1, XM_007225833.2
XP_007215888.2, XM_007215826.2
XP_007210303.1, XM_007210241.2
