protein, rna
Carica_papaya-XP_021892148.1, Carica_papaya-XM_022036456.1
Carica_papaya-XP_021894540.1, Carica_papaya-XM_022038848.1
Carica_papaya-XP_021891509.1, Carica_papaya-XM_022035817.1
Carica_papaya-XP_021903271.1, Carica_papaya-XM_022047579.1
Carica_papaya-XP_021908347.1, Carica_papaya-XM_022052655.1
Carica_papaya-XP_021893078.1, Carica_papaya-XM_022037386.1
Carica_papaya-XP_021901535.1, Carica_papaya-XM_022045843.1
Carica_papaya-XP_021896599.1, Carica_papaya-XM_022040907.1
Carica_papaya-XP_021902793.1, Carica_papaya-XM_022047101.1
Carica_papaya-XP_021892270.1, Carica_papaya-XM_022036578.1
Carica_papaya-XP_021902311.1, Carica_papaya-XM_022046619.1
Carica_papaya-XP_021910525.1, Carica_papaya-XM_022054833.1
Carica_papaya-XP_021893409.1, Carica_papaya-XM_022037717.1
Carica_papaya-XP_021894950.1, Carica_papaya-XM_022039258.1
Carica_papaya-XP_021892708.1, Carica_papaya-XM_022037016.1
Carica_papaya-XP_021911213.1, Carica_papaya-XM_022055521.1
Carica_papaya-XP_021906088.1, Carica_papaya-XM_022050396.1
Carica_papaya-XP_021896457.1, Carica_papaya-XM_022040765.1
Carica_papaya-XP_021890196.1, Carica_papaya-XM_022034504.1
Carica_papaya-XP_021903805.1, Carica_papaya-XM_022048113.1
Carica_papaya-XP_021888775.1, Carica_papaya-XM_022033083.1
Carica_papaya-XP_021896329.1, Carica_papaya-XM_022040637.1
Carica_papaya-XP_021896330.1, Carica_papaya-XM_022040638.1
Carica_papaya-XP_021899120.1, Carica_papaya-XM_022043428.1
Carica_papaya-XP_021894801.1, Carica_papaya-XM_022039109.1
Carica_papaya-XP_021888559.1, Carica_papaya-XM_022032867.1
Carica_papaya-XP_021888393.1, Carica_papaya-XM_022032701.1
Carica_papaya-XP_021895439.1, Carica_papaya-XM_022039747.1
Carica_papaya-XP_021887449.1, Carica_papaya-XM_022031757.1
Carica_papaya-XP_021909740.1, Carica_papaya-XM_022054048.1
Carica_papaya-XP_021897330.1, Carica_papaya-XM_022041638.1
Carica_papaya-XP_021904347.1, Carica_papaya-XM_022048655.1
Carica_papaya-XP_021899420.1, Carica_papaya-XM_022043728.1
Carica_papaya-XP_021911295.1, Carica_papaya-XM_022055603.1
Carica_papaya-XP_021887849.1, Carica_papaya-XM_022032157.1
Carica_papaya-XP_021910169.1, Carica_papaya-XM_022054477.1
Carica_papaya-XP_021892376.1, Carica_papaya-XM_022036684.1
Carica_papaya-XP_021902175.1, Carica_papaya-XM_022046483.1
Carica_papaya-XP_021889223.1, Carica_papaya-XM_022033531.1
Carica_papaya-XP_021895345.1, Carica_papaya-XM_022039653.1
Carica_papaya-XP_021897952.1, Carica_papaya-XM_022042260.1
Carica_papaya-XP_021906318.1, Carica_papaya-XM_022050626.1
Carica_papaya-XP_021897380.1, Carica_papaya-XM_022041688.1
Carica_papaya-XP_021889530.1, Carica_papaya-XM_022033838.1
Carica_papaya-XP_021911929.1, Carica_papaya-XM_022056237.1
Carica_papaya-XP_021895423.1, Carica_papaya-XM_022039731.1
Carica_papaya-XP_021911350.1, Carica_papaya-XM_022055658.1
Carica_papaya-XP_021888386.1, Carica_papaya-XM_022032694.1
Carica_papaya-XP_021908630.1, Carica_papaya-XM_022052938.1
Carica_papaya-XP_021901462.1, Carica_papaya-XM_022045770.1
Carica_papaya-XP_021888350.1, Carica_papaya-XM_022032658.1
Carica_papaya-XP_021901237.1, Carica_papaya-XM_022045545.1
Carica_papaya-XP_021905656.1, Carica_papaya-XM_022049964.1
Carica_papaya-XP_021907708.1, Carica_papaya-XM_022052016.1
Carica_papaya-XP_021909167.1, Carica_papaya-XM_022053475.1
Carica_papaya-XP_021897030.1, Carica_papaya-XM_022041338.1
Carica_papaya-XP_021894598.1, Carica_papaya-XM_022038906.1
Carica_papaya-XP_021894599.1, Carica_papaya-XM_022038907.1
Carica_papaya-XP_021896509.1, Carica_papaya-XM_022040817.1
Carica_papaya-XP_021906625.1, Carica_papaya-XM_022050933.1
Carica_papaya-XP_021902014.1, Carica_papaya-XM_022046322.1
Carica_papaya-XP_021906169.1, Carica_papaya-XM_022050477.1
Carica_papaya-XP_021894438.1, Carica_papaya-XM_022038746.1
Carica_papaya-XP_021892864.1, Carica_papaya-XM_022037172.1
Carica_papaya-XP_021900075.1, Carica_papaya-XM_022044383.1
Carica_papaya-XP_021905610.1, Carica_papaya-XM_022049918.1
Carica_papaya-XP_021908499.1, Carica_papaya-XM_022052807.1
Carica_papaya-XP_021887455.1, Carica_papaya-XM_022031763.1
Carica_papaya-XP_021887463.1, Carica_papaya-XM_022031771.1
Carica_papaya-XP_021887469.1, Carica_papaya-XM_022031777.1
Carica_papaya-XP_021893505.1, Carica_papaya-XM_022037813.1
Carica_papaya-XP_021889465.1, Carica_papaya-XM_022033773.1
Carica_papaya-XP_021889466.1, Carica_papaya-XM_022033774.1
Carica_papaya-XP_021889929.1, Carica_papaya-XM_022034237.1
Carica_papaya-XP_021912582.1, Carica_papaya-XM_022056890.1
Carica_papaya-XP_021902176.1, Carica_papaya-XM_022046484.1
Carica_papaya-XP_021890737.1, Carica_papaya-XM_022035045.1
Carica_papaya-XP_021890738.1, Carica_papaya-XM_022035046.1
Carica_papaya-XP_021892549.1, Carica_papaya-XM_022036857.1
Carica_papaya-XP_021906956.1, Carica_papaya-XM_022051264.1
Carica_papaya-XP_021906958.1, Carica_papaya-XM_022051266.1
Carica_papaya-XP_021904888.1, Carica_papaya-XM_022049196.1
Carica_papaya-XP_021896164.1, Carica_papaya-XM_022040472.1
Carica_papaya-XP_021894846.1, Carica_papaya-XM_022039154.1
Carica_papaya-XP_021899821.1, Carica_papaya-XM_022044129.1
Carica_papaya-XP_021908494.1, Carica_papaya-XM_022052802.1
Carica_papaya-XP_021894685.1, Carica_papaya-XM_022038993.1
Carica_papaya-XP_021898691.1, Carica_papaya-XM_022042999.1
Carica_papaya-XP_021911277.1, Carica_papaya-XM_022055585.1
Carica_papaya-XP_021910410.1, Carica_papaya-XM_022054718.1
Carica_papaya-XP_021892496.1, Carica_papaya-XM_022036804.1
Carica_papaya-XP_021911644.1, Carica_papaya-XM_022055952.1
Carica_papaya-XP_021908851.1, Carica_papaya-XM_022053159.1
Carica_papaya-XP_021908827.1, Carica_papaya-XM_022053135.1
Carica_papaya-XP_021900219.1, Carica_papaya-XM_022044527.1
Carica_papaya-XP_021909678.1, Carica_papaya-XM_022053986.1
Carica_papaya-XP_021903190.1, Carica_papaya-XM_022047498.1
Carica_papaya-XP_021886943.1, Carica_papaya-XM_022031251.1
Carica_papaya-XP_021908416.1, Carica_papaya-XM_022052724.1
Carica_papaya-XP_021893710.1, Carica_papaya-XM_022038018.1
Carica_papaya-XP_021889073.1, Carica_papaya-XM_022033381.1
Carica_papaya-XP_021892948.1, Carica_papaya-XM_022037256.1
Carica_papaya-XP_021908422.1, Carica_papaya-XM_022052730.1
Carica_papaya-XP_021903485.1, Carica_papaya-XM_022047793.1
Carica_papaya-XP_021907475.1, Carica_papaya-XM_022051783.1
Carica_papaya-XP_021897917.1, Carica_papaya-XM_022042225.1
Carica_papaya-XP_021892814.1, Carica_papaya-XM_022037122.1
Carica_papaya-XP_021904490.1, Carica_papaya-XM_022048798.1
Carica_papaya-XP_021891126.1, Carica_papaya-XM_022035434.1
Carica_papaya-XP_021899036.1, Carica_papaya-XM_022043344.1
Carica_papaya-XP_021891940.1, Carica_papaya-XM_022036248.1
Carica_papaya-XP_021889110.1, Carica_papaya-XM_022033418.1
Carica_papaya-XP_021890200.1, Carica_papaya-XM_022034508.1
Carica_papaya-XP_021896569.1, Carica_papaya-XM_022040877.1
Carica_papaya-XP_021889457.1, Carica_papaya-XM_022033765.1
Carica_papaya-XP_021905067.1, Carica_papaya-XM_022049375.1
Carica_papaya-XP_021912210.1, Carica_papaya-XM_022056518.1
Carica_papaya-XP_021891930.1, Carica_papaya-XM_022036238.1
Carica_papaya-XP_021912673.1, Carica_papaya-XM_022056981.1
Carica_papaya-XP_021890218.1, Carica_papaya-XM_022034526.1
Carica_papaya-XP_021911571.1, Carica_papaya-XM_022055879.1
Carica_papaya-XP_021892068.1, Carica_papaya-XM_022036376.1
Carica_papaya-XP_021892069.1, Carica_papaya-XM_022036377.1
Carica_papaya-XP_021907842.1, Carica_papaya-XM_022052150.1
Carica_papaya-XP_021909481.1, Carica_papaya-XM_022053789.1
Carica_papaya-XP_021888858.1, Carica_papaya-XM_022033166.1
Carica_papaya-XP_021898510.1, Carica_papaya-XM_022042818.1
Carica_papaya-XP_021887353.1, Carica_papaya-XM_022031661.1
Carica_papaya-XP_021891865.1, Carica_papaya-XM_022036173.1
Carica_papaya-XP_021909700.1, Carica_papaya-XM_022054008.1
Carica_papaya-XP_021899611.1, Carica_papaya-XM_022043919.1
Carica_papaya-XP_021910344.1, Carica_papaya-XM_022054652.1
Carica_papaya-XP_021892393.1, Carica_papaya-XM_022036701.1
Carica_papaya-XP_021892394.1, Carica_papaya-XM_022036702.1
Carica_papaya-XP_021903806.1, Carica_papaya-XM_022048114.1
Carica_papaya-XP_021896949.1, Carica_papaya-XM_022041257.1
Carica_papaya-XP_021903244.1, Carica_papaya-XM_022047552.1
Carica_papaya-XP_021903289.1, Carica_papaya-XM_022047597.1
Carica_papaya-XP_021893600.1, Carica_papaya-XM_022037908.1
Carica_papaya-XP_021905239.1, Carica_papaya-XM_022049547.1
Carica_papaya-XP_021889811.1, Carica_papaya-XM_022034119.1
Carica_papaya-XP_021887729.1, Carica_papaya-XM_022032037.1
Carica_papaya-XP_021901282.1, Carica_papaya-XM_022045590.1
Carica_papaya-XP_021907193.1, Carica_papaya-XM_022051501.1
Carica_papaya-XP_021888022.1, Carica_papaya-XM_022032330.1
Carica_papaya-XP_021905183.1, Carica_papaya-XM_022049491.1
Carica_papaya-XP_021894360.1, Carica_papaya-XM_022038668.1
Carica_papaya-XP_021912046.1, Carica_papaya-XM_022056354.1
Carica_papaya-XP_021903963.1, Carica_papaya-XM_022048271.1
Carica_papaya-XP_021912360.1, Carica_papaya-XM_022056668.1
Carica_papaya-XP_021888784.1, Carica_papaya-XM_022033092.1
Carica_papaya-XP_021910843.1, Carica_papaya-XM_022055151.1
Carica_papaya-XP_021896713.1, Carica_papaya-XM_022041021.1
Carica_papaya-XP_021902974.1, Carica_papaya-XM_022047282.1
Carica_papaya-XP_021902975.1, Carica_papaya-XM_022047283.1
Carica_papaya-XP_021910387.1, Carica_papaya-XM_022054695.1
Carica_papaya-XP_021906653.1, Carica_papaya-XM_022050961.1
Carica_papaya-XP_021891720.1, Carica_papaya-XM_022036028.1
Carica_papaya-XP_021912475.1, Carica_papaya-XM_022056783.1
Carica_papaya-XP_021897662.1, Carica_papaya-XM_022041970.1
Carica_papaya-XP_021902745.1, Carica_papaya-XM_022047053.1
Carica_papaya-XP_021912054.1, Carica_papaya-XM_022056362.1
