protein, rna
XP_002275817.1, XM_002275781.4
XP_002280683.1, XM_002280647.3
XP_002273172.1, XM_002273136.4
XP_002281184.1, XM_002281148.3
XP_002278070.1, XM_002278034.4
XP_002263965.2, XM_002263929.3
XP_003633403.1, XM_003633355.3
XP_010647829.1, XM_010649527.2
XP_002285902.1, XM_002285866.3
XP_002270096.1, XM_002270060.4
XP_002273677.1, XM_002273641.3
XP_002284509.1, XM_002284473.4
XP_019077002.1, XM_019221457.1
XP_010644116.1, XM_010645814.2
XP_002266366.1, XM_002266330.4
XP_002275944.1, XM_002275908.3
XP_002276411.1, XM_002276375.3
XP_002285876.2, XM_002285840.4
XP_010644139.1, XM_010645837.2
XP_002266905.1, XM_002266869.4
XP_002276331.1, XM_002276295.3
XP_002276131.1, XM_002276095.4
XP_002274210.1, XM_002274174.4
XP_002266075.1, XM_002266039.3
XP_002272315.1, XM_002272279.3
XP_010659086.1, XM_010660784.2
XP_002271466.1, XM_002271430.4
XP_002280145.1, XM_002280109.3
XP_002282049.1, XM_002282013.3
XP_002274763.1, XM_002274727.3
XP_002275502.1, XM_002275466.2
XP_002274790.1, XM_002274754.4
XP_002268720.1, XM_002268684.3
XP_002277007.1, XM_002276971.4
XP_010655344.2, XM_010657042.2
XP_002267727.1, XM_002267691.3
XP_003634858.1, XM_003634810.3
XP_002269552.3, XM_002269516.4
XP_002283246.1, XM_002283210.4
XP_002266648.2, XM_002266612.3
XP_002263823.1, XM_002263787.3
XP_002273820.1, XM_002273784.4
XP_002282206.1, XM_002282170.4
XP_002270910.1, XM_002270874.3
XP_003631283.1, XM_003631235.3
XP_002272533.1, XM_002272497.3
XP_002269159.1, XM_002269123.3
XP_002270582.1, XM_002270546.3
XP_002279656.1, XM_002279620.3
XP_002264063.1, XM_002264027.4
XP_002278905.3, XM_002278869.3
XP_002280495.1, XM_002280459.4
XP_002272881.1, XM_002272845.3
XP_003634154.1, XM_003634106.3
XP_002282517.1, XM_002282481.4
XP_003635536.2, XM_003635488.3
XP_019074212.1, XM_019218667.1
XP_002284680.1, XM_002284644.3
XP_002264393.2, XM_002264357.4
XP_002277280.1, XM_002277244.3
XP_002266459.1, XM_002266423.4
XP_010644565.1, XM_010646263.2
XP_010651119.1, XM_010652817.2
XP_010655096.1, XM_010656794.2
XP_002280513.1, XM_002280477.3
XP_002274334.1, XM_002274298.3
XP_019077124.1, XM_019221579.1
XP_002264181.3, XM_002264145.4
XP_002276295.1, XM_002276259.3
XP_002268377.1, XM_002268341.4
XP_002267469.2, XM_002267433.4
XP_002283786.1, XM_002283750.3
XP_010655426.1, XM_010657124.2
XP_010655427.1, XM_010657125.2
XP_002281227.1, XM_002281191.4
XP_002269283.1, XM_002269247.3
XP_010649905.1, XM_010651603.2
XP_002278797.1, XM_002278761.4
XP_010649832.1, XM_010651530.2
XP_002268164.3, XM_002268128.4
XP_003635589.2, XM_003635541.3
XP_002269912.1, XM_002269876.3
XP_002272947.1, XM_002272911.3
XP_002268965.1, XM_002268929.4
XP_002285093.1, XM_002285057.4
XP_002264601.1, XM_002264565.3
