protein, rna
Pyrus_x_bretschneideri-XP_009368725.1, Pyrus_x_bretschneideri-XM_009370450.2
Pyrus_x_bretschneideri-XP_009375928.1, Pyrus_x_bretschneideri-XM_009377653.2
Pyrus_x_bretschneideri-XP_009358186.1, Pyrus_x_bretschneideri-XM_009359911.2
Pyrus_x_bretschneideri-XP_009336938.1, Pyrus_x_bretschneideri-XM_009338663.2
Pyrus_x_bretschneideri-XP_009344823.1, Pyrus_x_bretschneideri-XM_009346548.2
Pyrus_x_bretschneideri-XP_009336813.1, Pyrus_x_bretschneideri-XM_009338538.1
Pyrus_x_bretschneideri-XP_018502409.1, Pyrus_x_bretschneideri-XM_018646893.1
Pyrus_x_bretschneideri-XP_009342417.1, Pyrus_x_bretschneideri-XM_009344142.2
Pyrus_x_bretschneideri-XP_009334564.1, Pyrus_x_bretschneideri-XM_009336289.2
Pyrus_x_bretschneideri-XP_009346864.1, Pyrus_x_bretschneideri-XM_009348589.2
Pyrus_x_bretschneideri-XP_009352858.1, Pyrus_x_bretschneideri-XM_009354583.2
Pyrus_x_bretschneideri-XP_009342448.1, Pyrus_x_bretschneideri-XM_009344173.2
Pyrus_x_bretschneideri-XP_018499391.1, Pyrus_x_bretschneideri-XM_018643875.1
Pyrus_x_bretschneideri-XP_018499392.1, Pyrus_x_bretschneideri-XM_018643876.1
Pyrus_x_bretschneideri-XP_009334033.1, Pyrus_x_bretschneideri-XM_009335758.2
Pyrus_x_bretschneideri-XP_009377020.1, Pyrus_x_bretschneideri-XM_009378745.2
Pyrus_x_bretschneideri-XP_018505763.1, Pyrus_x_bretschneideri-XM_018650247.1
Pyrus_x_bretschneideri-XP_009361092.1, Pyrus_x_bretschneideri-XM_009362817.2
Pyrus_x_bretschneideri-XP_009343980.1, Pyrus_x_bretschneideri-XM_009345705.2
Pyrus_x_bretschneideri-XP_009335197.1, Pyrus_x_bretschneideri-XM_009336922.2
Pyrus_x_bretschneideri-XP_018503476.1, Pyrus_x_bretschneideri-XM_018647960.1
Pyrus_x_bretschneideri-XP_009343056.1, Pyrus_x_bretschneideri-XM_009344781.2
Pyrus_x_bretschneideri-XP_009335969.1, Pyrus_x_bretschneideri-XM_009337694.2
Pyrus_x_bretschneideri-XP_009345741.1, Pyrus_x_bretschneideri-XM_009347466.2
Pyrus_x_bretschneideri-XP_009356948.1, Pyrus_x_bretschneideri-XM_009358673.2
