protein, rna
XP_019233654.1, XM_019378109.1
XP_019233584.1, XM_019378039.1
XP_019265054.1, XM_019409509.1
XP_019232965.1, XM_019377420.1
XP_019228035.1, XM_019372490.1
XP_019252748.1, XM_019397203.1
XP_019247721.1, XM_019392176.1
XP_019254911.1, XM_019399366.1
XP_019249449.1, XM_019393904.1
XP_019225863.1, XM_019370318.1
XP_019224445.1, XM_019368900.1
XP_019250021.1, XM_019394476.1
XP_019265672.1, XM_019410127.1
XP_019249489.1, XM_019393944.1
XP_019250720.1, XM_019395175.1
XP_019243789.1, XM_019388244.1
XP_019232393.1, XM_019376848.1
XP_019245555.1, XM_019390010.1
XP_019247034.1, XM_019391489.1
XP_019229031.1, XM_019373486.1
XP_019250156.1, XM_019394611.1
XP_019225350.1, XM_019369805.1
XP_019258776.1, XM_019403231.1
XP_019258777.1, XM_019403232.1
XP_019235303.1, XM_019379758.1
XP_019232855.1, XM_019377310.1
XP_019231706.1, XM_019376161.1
XP_019229525.1, XM_019373980.1
XP_019266349.1, XM_019410804.1
XP_019230293.1, XM_019374748.1
XP_019252440.1, XM_019396895.1
XP_019240575.1, XM_019385030.1
XP_019239263.1, XM_019383718.1
XP_019265379.1, XM_019409834.1
XP_019265640.1, XM_019410095.1
XP_019224452.1, XM_019368907.1
XP_019247296.1, XM_019391751.1
XP_019265610.1, XM_019410065.1
XP_019265615.1, XM_019410070.1
XP_019245791.1, XM_019390246.1
XP_019240896.1, XM_019385351.1
XP_019237781.1, XM_019382236.1
XP_019238990.1, XM_019383445.1
XP_019266480.1, XM_019410935.1
XP_019262218.1, XM_019406673.1
XP_019263637.1, XM_019408092.1
XP_019230956.1, XM_019375411.1
XP_019226770.1, XM_019371225.1
XP_019254756.1, XM_019399211.1
XP_019266112.1, XM_019410567.1
XP_019225790.1, XM_019370245.1
XP_019257006.1, XM_019401461.1
XP_019226258.1, XM_019370713.1
XP_019267595.1, XM_019412050.1
XP_019246129.1, XM_019390584.1
XP_019234696.1, XM_019379151.1
XP_019241567.1, XM_019386022.1
XP_019257974.1, XM_019402429.1
XP_019240428.1, XM_019384883.1
XP_019251617.1, XM_019396072.1
XP_019243809.1, XM_019388264.1
XP_019246931.1, XM_019391386.1
XP_019249866.1, XM_019394321.1
XP_019227599.1, XM_019372054.1
XP_019255849.1, XM_019400304.1
XP_019258714.1, XM_019403169.1
XP_019250083.1, XM_019394538.1
XP_019240811.1, XM_019385266.1
XP_019249730.1, XM_019394185.1
XP_019230246.1, XM_019374701.1
XP_019255339.1, XM_019399794.1
XP_019257454.1, XM_019401909.1
XP_019249335.1, XM_019393790.1
XP_019240687.1, XM_019385142.1
XP_019266070.1, XM_019410525.1
XP_019235768.1, XM_019380223.1
XP_019224203.1, XM_019368658.1
XP_019267380.1, XM_019411835.1
XP_019253338.1, XM_019397793.1
XP_019256622.1, XM_019401077.1
XP_019261354.1, XM_019405809.1
XP_019260273.1, XM_019404728.1
XP_019238543.1, XM_019382998.1
XP_019249704.1, XM_019394159.1
XP_019228204.1, XM_019372659.1
XP_019267559.1, XM_019412014.1
XP_019248204.1, XM_019392659.1
XP_019248205.1, XM_019392660.1
XP_019228923.1, XM_019373378.1
XP_019259645.1, XM_019404100.1
XP_019252077.1, XM_019396532.1
XP_019243566.1, XM_019388021.1
XP_019254787.1, XM_019399242.1
XP_019228202.1, XM_019372657.1
XP_019232661.1, XM_019377116.1
XP_019264761.1, XM_019409216.1
XP_019226101.1, XM_019370556.1
XP_019249736.1, XM_019394191.1
XP_019243535.1, XM_019387990.1
XP_019240044.1, XM_019384499.1
XP_019231257.1, XM_019375712.1
XP_019264469.1, XM_019408924.1
XP_019237848.1, XM_019382303.1
XP_019264836.1, XM_019409291.1
XP_019239471.1, XM_019383926.1
XP_019235702.1, XM_019380157.1
XP_019228360.1, XM_019372815.1
XP_019228361.1, XM_019372816.1
XP_019244047.1, XM_019388502.1
XP_019228161.1, XM_019372616.1
XP_019238317.1, XM_019382772.1
XP_019256223.1, XM_019400678.1
XP_019256224.1, XM_019400679.1
XP_019256225.1, XM_019400680.1
XP_019239522.1, XM_019383977.1
XP_019252343.1, XM_019396798.1
XP_019255573.1, XM_019400028.1
XP_019266440.1, XM_019410895.1
XP_019250541.1, XM_019394996.1
XP_019224883.1, XM_019369338.1
XP_019254818.1, XM_019399273.1
XP_019239527.1, XM_019383982.1
XP_019263221.1, XM_019407676.1
XP_019241603.1, XM_019386058.1
XP_019238901.1, XM_019383356.1
XP_019264887.1, XM_019409342.1
XP_019238351.1, XM_019382806.1
