protein, rna
XP_006360193.1, XM_006360131.2
XP_006358719.2, XM_006358657.2
XP_006361774.1, XM_006361712.2
XP_006363637.2, XM_006363575.2
XP_006340785.1, XM_006340723.2
XP_006362136.1, XM_006362074.1
XP_006349347.1, XM_006349285.2
XP_006356592.1, XM_006356530.2
XP_006342085.1, XM_006342023.2
XP_006346349.1, XM_006346287.2
XP_006364299.1, XM_006364237.2
XP_015170194.1, XM_015314708.1
XP_006349560.1, XM_006349498.2
XP_006348312.1, XM_006348250.2
XP_006354372.1, XM_006354310.2
XP_006364603.1, XM_006364541.2
XP_006344421.2, XM_006344359.2
XP_006351203.1, XM_006351141.2
XP_006358947.1, XM_006358885.2
XP_006343831.1, XM_006343769.2
XP_006348476.1, XM_006348414.2
XP_006362841.1, XM_006362779.2
XP_006349043.1, XM_006348981.2
XP_006343838.1, XM_006343776.2
XP_006351679.2, XM_006351617.2
XP_006347673.1, XM_006347611.2
XP_006338816.1, XM_006338754.2
XP_006362797.2, XM_006362735.2
XP_006364594.1, XM_006364532.2
XP_006349488.1, XM_006349426.2
XP_006349201.1, XM_006349139.2
XP_006367265.1, XM_006367203.2
XP_006344536.1, XM_006344474.2
XP_006363928.1, XM_006363866.2
XP_006363929.1, XM_006363867.2
XP_015159170.1, XM_015303684.1
XP_006355157.1, XM_006355095.2
XP_006345878.1, XM_006345816.2
XP_006343251.1, XM_006343189.2
XP_006343252.1, XM_006343190.2
XP_006359886.1, XM_006359824.2
XP_006358877.1, XM_006358815.2
XP_006340782.1, XM_006340720.2
XP_006366945.1, XM_006366883.2
XP_006363062.1, XM_006363000.2
XP_006338501.1, XM_006338439.2
XP_006359142.1, XM_006359080.2
XP_006357258.1, XM_006357196.2
XP_006359423.1, XM_006359361.2
XP_006349494.1, XM_006349432.2
XP_006357209.1, XM_006357147.2
XP_006359236.1, XM_006359174.2
XP_006347665.1, XM_006347603.2
XP_006362385.1, XM_006362323.2
XP_006358180.1, XM_006358118.2
