protein, rna
XP_002864195.1, XM_002864149.2
XP_020886190.1, XM_021030531.1
XP_002882632.1, XM_002882586.2
XP_002873956.1, XM_002873910.2
XP_020887860.1, XM_021032201.1
XP_020870178.1, XM_021014519.1
XP_020869084.1, XM_021013425.1
XP_020866734.1, XM_021011075.1
XP_002889056.1, XM_002889010.2
XP_002885950.1, XM_002885904.2
XP_002881312.1, XM_002881266.2
XP_002869566.1, XM_002869520.2
XP_002864185.1, XM_002864139.2
XP_020888804.1, XM_021033145.1
XP_020885770.1, XM_021030111.1
XP_020881664.1, XM_021026005.1
XP_020871595.1, XM_021015936.1
XP_020866891.1, XM_021011232.1
XP_002888908.1, XM_002888862.2
XP_002887881.1, XM_002887835.2
XP_002882301.1, XM_002882255.2
XP_002880953.1, XM_002880907.2
XP_002875700.1, XM_002875654.2
XP_002869753.1, XM_002869707.2
XP_002867444.1, XM_002867398.2
XP_020888237.1, XM_021032578.1
XP_020884150.1, XM_021028491.1
XP_020883046.1, XM_021027387.1
XP_020882603.1, XM_021026944.1
XP_020880645.1, XM_021024986.1
XP_020879848.1, XM_021024189.1
XP_020879559.1, XM_021023900.1
XP_020870976.1, XM_021015317.1
XP_020869028.1, XM_021013369.1
XP_020868964.1, XM_021013305.1
XP_002891545.1, XM_002891499.2
XP_002889847.1, XM_002889801.2
XP_002889416.2, XM_002889370.2
XP_002886430.1, XM_002886384.2
XP_002884742.1, XM_002884696.2
XP_002881574.1, XM_002881528.2
XP_020883346.1, XM_021027687.1
XP_002881562.1, XM_002881516.2
XP_002880303.2, XM_002880257.2
XP_002880102.1, XM_002880056.2
XP_002875137.1, XM_002875091.2
XP_002874566.1, XM_002874520.2
XP_002870957.1, XM_002870911.2
XP_020890265.1, XM_021034606.1
XP_020890016.1, XM_021034357.1
XP_020888042.1, XM_021032383.1
XP_020884139.1, XM_021028480.1
XP_020883755.1, XM_021028096.1
XP_020882981.1, XM_021027322.1
XP_020877943.1, XM_021022284.1
XP_020874251.1, XM_021018592.1
XP_020872908.1, XM_021017249.1
XP_020869214.1, XM_021013555.1
XP_020867561.1, XM_021011902.1
XP_020867019.1, XM_021011360.1
XP_002894537.1, XM_002894491.2
XP_002890837.1, XM_002890791.2
XP_002889270.1, XM_002889224.2
XP_002889127.1, XM_002889081.2
XP_002888960.1, XM_002888914.2
