protein, rna
Eutrema_salsugineum-XP_006401780.1, Eutrema_salsugineum-XM_006401717.2
Eutrema_salsugineum-XP_006400940.1, Eutrema_salsugineum-XM_006400877.2
Eutrema_salsugineum-XP_006407654.1, Eutrema_salsugineum-XM_006407591.2
Eutrema_salsugineum-XP_006400522.1, Eutrema_salsugineum-XM_006400459.1
Eutrema_salsugineum-XP_024016497.1, Eutrema_salsugineum-XM_024160729.1
Eutrema_salsugineum-XP_006418407.1, Eutrema_salsugineum-XM_006418344.1
Eutrema_salsugineum-XP_006417536.1, Eutrema_salsugineum-XM_006417473.2
Eutrema_salsugineum-XP_006393255.1, Eutrema_salsugineum-XM_006393193.2
Eutrema_salsugineum-XP_006390240.1, Eutrema_salsugineum-XM_006390178.2
Eutrema_salsugineum-XP_006409603.1, Eutrema_salsugineum-XM_006409540.2
Eutrema_salsugineum-XP_006410538.1, Eutrema_salsugineum-XM_006410475.2
Eutrema_salsugineum-XP_006413083.1, Eutrema_salsugineum-XM_006413020.2
Eutrema_salsugineum-XP_024011235.1, Eutrema_salsugineum-XM_024155467.1
Eutrema_salsugineum-XP_006407033.2, Eutrema_salsugineum-XM_006406970.2
Eutrema_salsugineum-XP_006410861.1, Eutrema_salsugineum-XM_006410798.2
Eutrema_salsugineum-XP_006404359.1, Eutrema_salsugineum-XM_006404296.2
Eutrema_salsugineum-XP_006401445.1, Eutrema_salsugineum-XM_006401382.2
Eutrema_salsugineum-XP_006416277.1, Eutrema_salsugineum-XM_006416214.2
Eutrema_salsugineum-XP_006390590.1, Eutrema_salsugineum-XM_006390528.2
Eutrema_salsugineum-XP_006391612.1, Eutrema_salsugineum-XM_006391550.2
Eutrema_salsugineum-XP_006408277.1, Eutrema_salsugineum-XM_006408214.2
Eutrema_salsugineum-XP_024003636.1, Eutrema_salsugineum-XM_024147868.1
Eutrema_salsugineum-XP_006419093.1, Eutrema_salsugineum-XM_006419030.2
Eutrema_salsugineum-XP_006413491.1, Eutrema_salsugineum-XM_006413428.2
Eutrema_salsugineum-XP_006412938.1, Eutrema_salsugineum-XM_006412875.1
Eutrema_salsugineum-XP_006407349.2, Eutrema_salsugineum-XM_006407286.2
Eutrema_salsugineum-XP_006411578.1, Eutrema_salsugineum-XM_006411515.2
Eutrema_salsugineum-XP_006404649.1, Eutrema_salsugineum-XM_006404586.2
Eutrema_salsugineum-XP_006404369.1, Eutrema_salsugineum-XM_006404306.2
Eutrema_salsugineum-XP_024013402.1, Eutrema_salsugineum-XM_024157634.1
Eutrema_salsugineum-XP_006402366.1, Eutrema_salsugineum-XM_006402303.2
Eutrema_salsugineum-XP_006398738.1, Eutrema_salsugineum-XM_006398675.2
Eutrema_salsugineum-XP_006401214.1, Eutrema_salsugineum-XM_006401151.2
Eutrema_salsugineum-XP_006417023.1, Eutrema_salsugineum-XM_006416960.2
Eutrema_salsugineum-XP_006415954.1, Eutrema_salsugineum-XM_006415891.2
Eutrema_salsugineum-XP_006393197.1, Eutrema_salsugineum-XM_006393135.2
Eutrema_salsugineum-XP_024009124.1, Eutrema_salsugineum-XM_024153356.1
Eutrema_salsugineum-XP_006418314.1, Eutrema_salsugineum-XM_006418251.2
Eutrema_salsugineum-XP_006391776.1, Eutrema_salsugineum-XM_006391714.2
Eutrema_salsugineum-XP_006418812.1, Eutrema_salsugineum-XM_006418749.2
Eutrema_salsugineum-XP_006411027.1, Eutrema_salsugineum-XM_006410964.2
Eutrema_salsugineum-XP_024003934.1, Eutrema_salsugineum-XM_024148166.1
Eutrema_salsugineum-XP_024013865.1, Eutrema_salsugineum-XM_024158097.1
Eutrema_salsugineum-XP_006397608.1, Eutrema_salsugineum-XM_006397545.2
Eutrema_salsugineum-XP_006395772.1, Eutrema_salsugineum-XM_006395710.2
Eutrema_salsugineum-XP_024009788.1, Eutrema_salsugineum-XM_024154020.1
Eutrema_salsugineum-XP_006398681.1, Eutrema_salsugineum-XM_006398618.2
Eutrema_salsugineum-XP_006390921.1, Eutrema_salsugineum-XM_006390859.2
Eutrema_salsugineum-XP_006389884.1, Eutrema_salsugineum-XM_006389822.2
Eutrema_salsugineum-XP_006407909.1, Eutrema_salsugineum-XM_006407846.2
Eutrema_salsugineum-XP_006411377.1, Eutrema_salsugineum-XM_006411314.2
Eutrema_salsugineum-XP_006402014.1, Eutrema_salsugineum-XM_006401951.2
Eutrema_salsugineum-XP_006410550.1, Eutrema_salsugineum-XM_006410487.2
Eutrema_salsugineum-XP_006394705.2, Eutrema_salsugineum-XM_006394643.2
Eutrema_salsugineum-XP_006414626.1, Eutrema_salsugineum-XM_006414563.2
Eutrema_salsugineum-XP_006413796.1, Eutrema_salsugineum-XM_006413733.2
Eutrema_salsugineum-XP_006416294.1, Eutrema_salsugineum-XM_006416231.2
Eutrema_salsugineum-XP_006416857.1, Eutrema_salsugineum-XM_006416794.2
Eutrema_salsugineum-XP_006416532.1, Eutrema_salsugineum-XM_006416469.2
Eutrema_salsugineum-XP_006392590.1, Eutrema_salsugineum-XM_006392528.2
Eutrema_salsugineum-XP_006415538.1, Eutrema_salsugineum-XM_006415475.2
Eutrema_salsugineum-XP_006389842.1, Eutrema_salsugineum-XM_006389780.2
Eutrema_salsugineum-XP_006390118.1, Eutrema_salsugineum-XM_006390056.2
Eutrema_salsugineum-XP_006390476.1, Eutrema_salsugineum-XM_006390414.2
Eutrema_salsugineum-XP_006407622.1, Eutrema_salsugineum-XM_006407559.2
Eutrema_salsugineum-XP_006409076.1, Eutrema_salsugineum-XM_006409013.2
Eutrema_salsugineum-XP_006409645.1, Eutrema_salsugineum-XM_006409582.2
Eutrema_salsugineum-XP_006406724.1, Eutrema_salsugineum-XM_006406661.2
Eutrema_salsugineum-XP_006407809.1, Eutrema_salsugineum-XM_006407746.2
Eutrema_salsugineum-XP_006405071.1, Eutrema_salsugineum-XM_006405008.2
Eutrema_salsugineum-XP_006396649.1, Eutrema_salsugineum-XM_006396586.2
Eutrema_salsugineum-XP_006400693.1, Eutrema_salsugineum-XM_006400630.2
Eutrema_salsugineum-XP_006399113.2, Eutrema_salsugineum-XM_006399050.2
Eutrema_salsugineum-XP_006414631.1, Eutrema_salsugineum-XM_006414568.2
Eutrema_salsugineum-XP_006414491.1, Eutrema_salsugineum-XM_006414428.2
Eutrema_salsugineum-XP_006414354.2, Eutrema_salsugineum-XM_006414291.2
Eutrema_salsugineum-XP_006413502.1, Eutrema_salsugineum-XM_006413439.2
Eutrema_salsugineum-XP_006394174.1, Eutrema_salsugineum-XM_006394112.2
Eutrema_salsugineum-XP_006390949.1, Eutrema_salsugineum-XM_006390887.2
Eutrema_salsugineum-XP_024015676.1, Eutrema_salsugineum-XM_024159908.1
Eutrema_salsugineum-XP_006390160.1, Eutrema_salsugineum-XM_006390098.2
Eutrema_salsugineum-XP_024015165.1, Eutrema_salsugineum-XM_024159397.1
Eutrema_salsugineum-XP_006407340.1, Eutrema_salsugineum-XM_006407277.2
Eutrema_salsugineum-XP_006410786.1, Eutrema_salsugineum-XM_006410723.2
Eutrema_salsugineum-XP_006397876.1, Eutrema_salsugineum-XM_006397813.1
Eutrema_salsugineum-XP_006402144.1, Eutrema_salsugineum-XM_006402081.2
Eutrema_salsugineum-XP_006402900.1, Eutrema_salsugineum-XM_006402837.2
Eutrema_salsugineum-XP_006400247.1, Eutrema_salsugineum-XM_006400184.2
Eutrema_salsugineum-XP_006401112.1, Eutrema_salsugineum-XM_006401049.2
Eutrema_salsugineum-XP_006400514.1, Eutrema_salsugineum-XM_006400451.2
Eutrema_salsugineum-XP_006399355.1, Eutrema_salsugineum-XM_006399292.2
Eutrema_salsugineum-XP_006398809.1, Eutrema_salsugineum-XM_006398746.2
Eutrema_salsugineum-XP_006414512.1, Eutrema_salsugineum-XM_006414449.2
Eutrema_salsugineum-XP_006413703.1, Eutrema_salsugineum-XM_006413640.2
Eutrema_salsugineum-XP_006401512.1, Eutrema_salsugineum-XM_006401449.2
Eutrema_salsugineum-XP_006417456.1, Eutrema_salsugineum-XM_006417393.2
Eutrema_salsugineum-XP_006415056.1, Eutrema_salsugineum-XM_006414993.2
Eutrema_salsugineum-XP_006418054.1, Eutrema_salsugineum-XM_006417991.2
Eutrema_salsugineum-XP_006415906.1, Eutrema_salsugineum-XM_006415843.2
Eutrema_salsugineum-XP_006415762.1, Eutrema_salsugineum-XM_006415699.2
Eutrema_salsugineum-XP_006418472.1, Eutrema_salsugineum-XM_006418409.2
Eutrema_salsugineum-XP_006392635.1, Eutrema_salsugineum-XM_006392573.2
Eutrema_salsugineum-XP_006417628.1, Eutrema_salsugineum-XM_006417565.2
Eutrema_salsugineum-XP_006389727.2, Eutrema_salsugineum-XM_006389665.2
Eutrema_salsugineum-XP_006391901.1, Eutrema_salsugineum-XM_006391839.2
Eutrema_salsugineum-XP_006406286.1, Eutrema_salsugineum-XM_006406223.2
Eutrema_salsugineum-XP_006406446.1, Eutrema_salsugineum-XM_006406383.2
Eutrema_salsugineum-XP_006407066.1, Eutrema_salsugineum-XM_006407003.2
Eutrema_salsugineum-XP_006407970.1, Eutrema_salsugineum-XM_006407907.2
Eutrema_salsugineum-XP_006403663.1, Eutrema_salsugineum-XM_006403600.2
Eutrema_salsugineum-XP_006389725.2, Eutrema_salsugineum-XM_006389663.2
Eutrema_salsugineum-XP_006400558.1, Eutrema_salsugineum-XM_006400495.2
Eutrema_salsugineum-XP_006414509.1, Eutrema_salsugineum-XM_006414446.2
Eutrema_salsugineum-XP_006413058.1, Eutrema_salsugineum-XM_006412995.2
Eutrema_salsugineum-XP_024012703.1, Eutrema_salsugineum-XM_024156935.1
Eutrema_salsugineum-XP_006393797.1, Eutrema_salsugineum-XM_006393735.2
Eutrema_salsugineum-XP_006401920.1, Eutrema_salsugineum-XM_006401857.2
Eutrema_salsugineum-XP_006402165.1, Eutrema_salsugineum-XM_006402102.2
